district_2024,station_count,charger_count,public_charger_count,limited_charger_count,fast_charger_count,slow_charger_count,unknown_speed_count,avg_chargers_per_station,public_charger_ratio_percent,fast_charger_ratio_percent,total_ev_count,passenger_ev_count,van_ev_count,truck_ev_count,special_ev_count,private_ev_count,commercial_ev_count,commercial_ev_ratio_percent,chargers_per_100_ev,public_chargers_per_100_ev,fast_chargers_per_100_ev,ev_per_charger,ev_per_public_charger,stations_per_1000_ev,weighted_ev_demand_equal,weighted_ev_demand_commercial_1_5,chargers_per_100_weighted_ev,charger_count_rank,ev_count_rank,chargers_per_100_ev_rank,public_chargers_per_100_ev_rank,fast_chargers_per_100_ev_rank,registration_base_date,boundary_base_date,charging_data_base_date
강화군,205,437,350,87,170,266,1,2.13,80.09,38.9,2691,2077,24,589,1,1107,1584,58.86,16.24,13.01,6.32,6.16,7.69,76.18,2691,3483.0,12.55,9,7,1,2,5,2024-03-31,2024-06-30,2026-07
계양구,413,2127,593,1534,155,1949,23,5.15,27.88,7.29,9486,8378,1,1106,1,1876,7610,80.22,22.42,6.25,1.63,4.46,16.0,43.54,9486,13291.0,16.0,7,1,2,1,1,2024-03-31,2024-06-30,2026-07
남동구,773,4382,1367,3015,300,4041,41,5.67,31.2,6.85,6928,5876,16,1034,2,5534,1394,20.12,63.25,19.73,4.33,1.58,5.07,111.58,6928,7625.0,57.47,3,3,4,3,3,2024-03-31,2024-06-30,2026-07
동구,102,663,304,359,62,601,0,6.5,45.85,9.35,451,307,0,142,2,304,147,32.59,147.01,67.41,13.75,0.68,1.48,226.16,451,524.5,126.41,8,9,9,9,8,2024-03-31,2024-06-30,2026-07
미추홀구,446,3324,800,2524,185,3120,19,7.45,24.07,5.57,2742,2054,0,687,1,1901,841,30.67,121.23,29.18,6.75,0.82,3.43,162.65,2742,3162.5,105.11,6,6,8,5,6,2024-03-31,2024-06-30,2026-07
부평구,627,3752,998,2754,175,3550,27,5.98,26.6,4.66,4088,3360,12,715,1,3147,941,23.02,91.78,24.41,4.28,1.09,4.1,153.38,4088,4558.5,82.31,4,5,6,4,2,2024-03-31,2024-06-30,2026-07
서구,1140,8200,2120,6080,511,7677,12,7.19,25.85,6.23,6902,5246,103,1548,5,5788,1114,16.14,118.81,30.72,7.4,0.84,3.26,165.17,6902,7459.0,109.93,1,4,7,6,7,2024-03-31,2024-06-30,2026-07
연수구,897,5941,2248,3693,360,5542,39,6.62,37.84,6.06,6947,6296,100,550,1,6328,619,8.91,85.52,32.36,5.18,1.17,3.09,129.12,6947,7256.5,81.87,2,2,5,7,4,2024-03-31,2024-06-30,2026-07
옹진군,40,76,60,16,28,48,0,1.9,78.95,36.84,178,116,0,62,0,164,14,7.87,42.7,33.71,15.73,2.34,2.97,224.72,178,185.0,41.08,10,10,3,8,9,2024-03-31,2024-06-30,2026-07
중구,507,3420,1919,1501,513,2888,19,6.75,56.11,15.0,2034,1637,30,367,0,1804,230,11.31,168.14,94.35,25.22,0.59,1.06,249.26,2034,2149.0,159.14,5,8,10,10,10,2024-03-31,2024-06-30,2026-07
