station_id,station_name,latitude,longitude,district_2024,charger_count,fast_charger_count,slow_charger_count,unknown_speed_count,public_charger_count,limited_charger_count,public_charger_ratio_percent,fast_charger_ratio_percent,representative_address,operator_name
ME174119,강화풍물시장 공영주차장,37.7404676,126.4919478,강화군,1,1,0,0,1,0,100.0,100.0,인천광역시 강화군 강화읍 갑곳리 849 고엽제전우회 건물 옆,환경부
ME174120,계산1택지 공영주차장,37.540182019,126.73630068,계양구,1,1,0,0,1,0,100.0,100.0,인천광역시 계양구 계산동 1060 구두수선방 옆,환경부
ME174125,㈜현대자동차 블루핸즈 서인천 서비스 주차장 입구,37.509973287,126.64197627,서구,1,1,0,0,1,0,100.0,100.0,인천광역시 서해구 원석로 160 주차장 입구 우측 완속충전기 옆,기후에너지환경부
ME174128,도원역 부근 공영주차장,37.467239217,126.64140301,중구,1,1,0,0,1,0,100.0,100.0,인천광역시 제물포구 도원동 5-7 주차장 입구,기후에너지환경부
ME181106,송도골프,37.414739803,126.65126359,연수구,2,2,0,0,2,0,100.0,100.0,인천광역시 연수구 능허대로 236,환경부
ME183080,덕산국민여가캠핑장,37.7175253,126.3808179,강화군,1,1,0,0,1,0,100.0,100.0,인천광역시 강화군 내가면 고천리 산494,환경부
ME184082,인천시청,37.455605,126.704138,남동구,1,1,0,0,1,0,100.0,100.0,인천광역시 남동구 정각로 29,환경부
ME184083,송도컨벤시아,37.3891519,126.6465433,연수구,1,1,0,0,1,0,100.0,100.0,"인천광역시 연수구 센트럴로 123 , 지하주차장 1층",환경부
ME18B188,온수리 공영 주차장,37.63936,126.49185,강화군,1,1,0,0,1,0,100.0,100.0,인천광역시 강화군 길상면 온수리 546-34,환경부
ME18B189,모탱이공원,37.561762889,126.75501295,계양구,1,1,0,0,1,0,100.0,100.0,인천광역시 계양구 동양동 607-1,환경부
ME18B190,현대시장 공영주차장,37.4770884,126.6470791,동구,1,1,0,0,1,0,100.0,100.0,인천광역시 제물포구 송림동 49-172,기후에너지환경부
ME18B191,인천나비공원 주차장,37.52066,126.69698,부평구,1,1,0,0,1,0,100.0,100.0,인천광역시 부평구 청천동 125-3,환경부
ME18B192,가좌2동 행정복지센터,37.490759,126.6852272,서구,1,1,0,0,1,0,100.0,100.0,인천광역시 서해구 가좌동 30-105,기후에너지환경부
ME18B193,이마트 동인천점,37.46648,126.62911,중구,1,1,0,0,1,0,100.0,100.0,인천광역시 제물포구 인중로 134,기후에너지환경부
ME18B194,인천공항물류단지 행정지원센터,37.479452511,126.47769637,중구,1,1,0,0,1,0,100.0,100.0,인천광역시 영종구 공항동로 296번길 69,기후에너지환경부
ME18B195,월미공원 제2주차장,37.4772813,126.5987024,중구,1,1,0,0,1,0,100.0,100.0,인천광역시 제물포구 북성동1가 97-32,기후에너지환경부
ME18B196,신기남부종합시장 주차장,37.4464524,126.6784408,미추홀구,1,1,0,0,1,0,100.0,100.0,인천광역시 미추홀구 주안동 1311-17,환경부
ME18B197,인천교통공사 본사,37.47002,126.7089,남동구,1,1,0,0,1,0,100.0,100.0,인천광역시 남동구 경인로 674,환경부
ME18B198,부평깡시장 공영주차장,37.49901,126.72673,부평구,1,1,0,0,1,0,100.0,100.0,인천광역시 부평구 부흥로 315,환경부
ME18B199,갈산역 공영주차장,37.5155424,126.7237655,부평구,1,1,0,0,1,0,100.0,100.0,인천광역시 부평구 갈산동 192,환경부
ME18B291,서운체육공원 주차장,37.530983535,126.74587044,계양구,2,2,0,0,2,0,100.0,100.0,인천광역시 계양구 서운동 207,환경부
ME18B292,열우물경기장,37.47881511,126.6926361,부평구,2,2,0,0,2,0,100.0,100.0,인천광역시 부평구 십정동 109-2,환경부
ME18B293,로봇타워,37.5280515,126.6081737,서구,2,2,0,0,2,0,100.0,100.0,인천광역시 서해구 로봇랜드로 155-11,기후에너지환경부
ME18B294,청라중앙호수공원 2주차장,37.527265,126.63678,서구,2,2,0,0,2,0,100.0,100.0,인천광역시 서해구 경서동 638-5,기후에너지환경부
ME18B295,서곶근린공원 제1주차장,37.54766783,126.68108195,서구,2,2,0,0,2,0,100.0,100.0,인천광역시 서해구 연희동 산150-5,기후에너지환경부
ME18B296,아트센터인천,37.39439,126.62722,연수구,2,2,0,0,2,0,100.0,100.0,인천광역시 연수구 아트센터대로 222,환경부
ME18B297,연수구청,37.4104617,126.6782309,연수구,2,2,0,0,2,0,100.0,100.0,인천광역시 연수구 원인재로 115,기후에너지환경부
ME18B298,십리포해수욕장 주차장,37.28163,126.48604,옹진군,2,2,0,0,2,0,100.0,100.0,인천광역시 옹진군 영흥면 영흥북로 382,환경부
ME18B299,인천아시안게임 남동경기장 1주차장,37.43936,126.73344,남동구,2,2,0,0,2,0,100.0,100.0,인천광역시 남동구 수산동 394-54,환경부
ME18B300,소래제1주차장,37.3977887,126.7360483,남동구,2,2,0,0,2,0,100.0,100.0,인천광역시 남동구 논현동 754-4,환경부
ME18B307,인천광역시 교통연수원,37.543593727,126.71650349,계양구,3,3,0,0,3,0,100.0,100.0,인천광역시 계양구 경명대로 990,환경부
ME18B409,인천아시아드주경기장 D1주차장,37.5497931,126.6685351,서구,4,4,0,0,4,0,100.0,100.0,인천광역시 서해구 연희동 187-8,기후에너지환경부
ME18B601,늘솔길공원 3주차장,37.387952594,126.7218022,남동구,2,2,0,0,2,0,100.0,100.0,인천광역시 남동구 논현동 762-3,환경부
ME18B602,남동복지관,37.44776,126.73315,남동구,2,2,0,0,2,0,100.0,100.0,인천광역시 남동구 소래로 645,환경부
ME18B603,서창2호 공영주차장,37.43573,126.74745,남동구,2,2,0,0,2,0,100.0,100.0,인천광역시 남동구 서창동 558-3,환경부
ME18B604,롯데마트 영종도점,37.4925552,126.4910728,중구,2,2,0,0,2,0,100.0,100.0,인천광역시 영종구 흰바위로 51,기후에너지환경부
ME18B605,인천서구청,37.544744813,126.6762323,서구,2,2,0,0,2,0,100.0,100.0,인천광역시 서해구 서곶로 307,기후에너지환경부
ME18B606,인천서구청소년수련관,37.51786945,126.65928097,서구,2,2,0,0,2,0,100.0,100.0,인천광역시 서해구 원창로 92,기후에너지환경부
ME19A161,계산3동행정복지센터 주차장,37.5378195,126.7295426,계양구,1,1,0,0,1,0,100.0,100.0,인천광역시 계양구 계산새로 7,환경부
ME19A162,동화마을 공영주차장,37.479081799999,126.618664599,중구,1,1,0,0,1,0,100.0,100.0,인천광역시 제물포구 송월동2가 4,기후에너지환경부
ME19A163,영종역남부 공영주차장,37.510709027,126.52374411,중구,1,1,0,0,1,0,100.0,100.0,인천광역시 영종구 운북동 464,기후에너지환경부
ME19A167,국립생물자원관,37.565291158,126.63721531,서구,1,1,0,0,1,0,100.0,100.0,인천광역시 검단구 환경로 42,기후에너지환경부
ME19A169,영종 하늘문화센터,37.495827059941,126.4728318398,중구,1,1,0,0,1,0,100.0,100.0,인천광역시 영종구 영종해안북로 1000-26,기후에너지환경부
ME19A255,강화경기장,37.7550888,126.468875,강화군,2,2,0,0,2,0,100.0,100.0,인천광역시 강화군 강화읍 강화대로 603,환경부
ME19A256,대룡리 공영주차장,37.781760000002,126.2785154,강화군,2,2,0,0,2,0,100.0,100.0,인천광역시 강화군 교동면 대룡리 466-19,기후에너지환경부
ME19A257,문화예술회관공영주차장,37.4440215,126.69963189999,남동구,2,2,0,0,2,0,100.0,100.0,인천광역시 남동구 예술로 149,기후에너지환경부
ME19A258,근로복지공단 인천북부지사,37.478913999999,126.753177999,부평구,2,2,0,0,2,0,100.0,100.0,인천광역시 부평구 무네미로 478,환경부
ME19A259,인천환경공단 가좌사업소,37.4978561,126.64765399999,서구,2,2,0,0,2,0,100.0,100.0,인천광역시 서해구 중봉대로211,기후에너지환경부
ME19A260,여성의광장,37.412327,126.6654825,연수구,2,2,0,0,2,0,100.0,100.0,인천광역시 연수구 앵고개로 183,환경부
ME19A261,송도컨벤시아,37.3891519,126.6465433,연수구,2,2,0,0,2,0,100.0,100.0,인천광역시 연수구 센트럴로 123,환경부
ME19A262,시립박물관주변 공영주차장,37.421396,126.652185799,연수구,2,2,0,0,2,0,100.0,100.0,인천광역시 연수구 청량로 165,환경부
ME19A263,월미도 공영주차장,37.475313602,126.60174262,중구,2,2,0,0,2,0,100.0,100.0,인천광역시 제물포구 반달로 20,기후에너지환경부
ME19A264,인천환경공단 운북사업소,37.51371730587,126.497041025,중구,2,2,0,0,2,0,100.0,100.0,인천광역시 영종구 영종해안북로 1204번길 105,기후에너지환경부
ME19A267,왕산 공영주차장,37.456969724,126.37163066,중구,2,2,0,0,2,0,100.0,100.0,인천광역시 영종구 을왕동 808-5,기후에너지환경부
ME19A268,정부인천지방합동청사,37.4694892,126.6610145,미추홀구,2,2,0,0,2,0,100.0,100.0,인천광역시 미추홀구 석정로 239,기후에너지환경부
ME19A271,삼산월드체육관,37.5078088,126.7382491,부평구,2,2,0,0,2,0,100.0,100.0,인천광역시 부평구 체육관로 60,환경부
ME19A272,한국폴리텍대학 남인천캠퍼스,37.47209467254,126.677284714,미추홀구,2,2,0,0,2,0,100.0,100.0,인천광역시 미추홀구 염전로333번길 23,환경부
ME19A275,롯데마트 인천터미널점,37.4429456,126.7013992,미추홀구,2,2,0,0,2,0,100.0,100.0,인천광역시 미추홀구 연남로 35,기후에너지환경부
ME19C262,지산입구(용진) 버스정류장 옆 주차장,37.714046,126.5121563,강화군,2,2,0,0,2,0,100.0,100.0,인천광역시 강화군 선원면 지산리 255-1,환경부
ME19Y222,연수 공영주차장,37.422676742,126.69751737,연수구,2,2,0,0,2,0,100.0,100.0,인천광역시 연수구 경원대로 429,기후에너지환경부
ME19Y258,선재어촌계,37.232786,126.537299,옹진군,2,2,0,0,2,0,100.0,100.0,인천광역시 옹진군 영흥면 선재로 5,환경부
ME19Y259,장경리주차장,37.272469,126.453835,옹진군,2,2,0,0,2,0,100.0,100.0,인천광역시 옹진군 영흥면 영흥로 723,환경부
ME20A1b1,강화군시설관리공단,37.7379917,126.5119556,강화군,1,1,0,0,1,0,100.0,100.0,인천광역시 강화군 강화읍 용정리 1074-4,환경부
ME20A1b2,강화도서관,37.74910788,126.48346552,강화군,1,1,0,0,1,0,100.0,100.0,인천광역시 강화군 강화읍 관청리 580-8,환경부
ME20A1b3,강화읍 갑곳 공영주차장,37.7421874,126.5054591,강화군,1,1,0,0,1,0,100.0,100.0,인천광역시 강화군 강화읍 갑곳리 462-3,환경부
ME20A1b4,교동면사무소,37.7841044,126.2828388,강화군,1,1,0,0,1,0,100.0,100.0,인천광역시 강화군 교동면 교동동로 485-13,환경부
ME20A1b5,불은면사무소,37.6864076,126.4796574,강화군,1,1,0,0,1,0,100.0,100.0,인천광역시 강화군 불은면 강화동로 562-3,환경부
ME20A1b6,삼산면사무소,37.7051506,126.3198067,강화군,1,1,0,0,1,0,100.0,100.0,인천광역시 강화군 삼산면 석모리 238,환경부
ME20A1b7,"양도면사무소, 보건지소",37.66288936,126.42211183,강화군,1,1,0,0,1,0,100.0,100.0,인천광역시 강화군 양도면 강화남로 708-2,환경부
ME20A1b8,양사면사무소,37.79818044,126.40864674,강화군,1,1,0,0,1,0,100.0,100.0,인천광역시 강화군 양사면 전망대로 1391,환경부
