charger_uid,statId,statNm,addr,district_final,lat,lng,is_deleted
EC003698_01,EC003698,주식회사 라코아 지하1층 주차장,인천광역시 남동구 서창남순환로10번길 50,남동구,35.2077666,128.999389,False
EV013001_01,EV013001,인천남동 만수주공2단지 1,"인천광역시 남동구 백범로124번길 43 (만수동, 만수주공2단지아파트)201동 앞 지상주차장",남동구,35.0108191,126.7831812,False
EV013001_02,EV013001,인천남동 만수주공2단지 1,"인천광역시 남동구 백범로124번길 43 (만수동, 만수주공2단지아파트)201동 앞 지상주차장",남동구,35.0108191,126.7831812,False
EV013001_03,EV013001,인천남동 만수주공2단지 1,"인천광역시 남동구 백범로124번길 43 (만수동, 만수주공2단지아파트)201동 앞 지상주차장",남동구,35.0108191,126.7831812,False
EV013002_01,EV013002,인천남동 만수주공2단지 2,"인천광역시 남동구 백범로124번길 43 (만수동, 만수주공2단지아파트)214동 앞 지상주차장",남동구,35.0108191,126.7831812,False
EV013002_02,EV013002,인천남동 만수주공2단지 2,"인천광역시 남동구 백범로124번길 43 (만수동, 만수주공2단지아파트)214동 앞 지상주차장",남동구,35.0108191,126.7831812,False
EV013002_03,EV013002,인천남동 만수주공2단지 2,"인천광역시 남동구 백범로124번길 43 (만수동, 만수주공2단지아파트)214동 앞 지상주차장",남동구,35.0108191,126.7831812,False
EV013002_04,EV013002,인천남동 만수주공2단지 2,"인천광역시 남동구 백범로124번길 43 (만수동, 만수주공2단지아파트)214동 앞 지상주차장",남동구,35.0108191,126.7831812,False
EV013002_05,EV013002,인천남동 만수주공2단지 2,"인천광역시 남동구 백범로124번길 43 (만수동, 만수주공2단지아파트)214동 앞 지상주차장",남동구,35.0108191,126.7831812,False
EV013002_06,EV013002,인천남동 만수주공2단지 2,"인천광역시 남동구 백범로124번길 43 (만수동, 만수주공2단지아파트)214동 앞 지상주차장",남동구,35.0108191,126.7831812,False
EV013002_07,EV013002,인천남동 만수주공2단지 2,"인천광역시 남동구 백범로124번길 43 (만수동, 만수주공2단지아파트)214동 앞 지상주차장",남동구,35.0108191,126.7831812,False
EV013003_01,EV013003,인천남동 만수주공2단지 3,"인천광역시 남동구 백범로124번길 43 (만수동, 만수주공2단지아파트)211동 앞 지상주차장",남동구,35.0108191,126.7831812,False
EV013003_02,EV013003,인천남동 만수주공2단지 3,"인천광역시 남동구 백범로124번길 43 (만수동, 만수주공2단지아파트)211동 앞 지상주차장",남동구,35.0108191,126.7831812,False
EV013003_03,EV013003,인천남동 만수주공2단지 3,"인천광역시 남동구 백범로124번길 43 (만수동, 만수주공2단지아파트)211동 앞 지상주차장",남동구,35.0108191,126.7831812,False
EV013003_04,EV013003,인천남동 만수주공2단지 3,"인천광역시 남동구 백범로124번길 43 (만수동, 만수주공2단지아파트)211동 앞 지상주차장",남동구,35.0108191,126.7831812,False
EV013003_05,EV013003,인천남동 만수주공2단지 3,"인천광역시 남동구 백범로124번길 43 (만수동, 만수주공2단지아파트)211동 앞 지상주차장",남동구,35.0108191,126.7831812,False
EV013003_06,EV013003,인천남동 만수주공2단지 3,"인천광역시 남동구 백범로124번길 43 (만수동, 만수주공2단지아파트)211동 앞 지상주차장",남동구,35.0108191,126.7831812,False
EZ001286_01,EZ001286,현대 자동차 운전전문학원,인천광역시 계양구 아나지로 561,계양구,36.0857088,128.1093714,False
HE240400_01,HE240400,신동아파밀리에명품,인천광역시 남동구 염전로 440,남동구,33.287911339,126.57865221,False
