charger_uid,statId,statNm,addr,district_before_correction,district_final,lat_before_correction,lng_before_correction,lat,lng,district_corrected,coordinate_corrected,correction_reason
HE000275_01,HE000275,인천대공원사업소,인천광역시 남동구 무네미로 236,제물포구,남동구,37.4577,126.7499,37.4577,126.7499,True,False,행정구역 코드와 주소 충돌: 주소 기준 남동구로 수정
HE000275_02,HE000275,인천대공원사업소,인천광역시 남동구 무네미로 236,제물포구,남동구,37.4577,126.7499,37.4577,126.7499,True,False,행정구역 코드와 주소 충돌: 주소 기준 남동구로 수정
HE000582_01,HE000582,인천대공원사업소 정문,"인천광역시 남동구 무네미로 238 (장수동, 인천대공원)",제물포구,남동구,37.459216,126.750769,37.459216,126.750769,True,False,행정구역 코드와 주소 충돌: 주소 기준 남동구로 수정
KP000261_01,KP000261,LH인천본부,인천광역시 남동구 논현로46번길 23,제물포구,남동구,37.40090909875,126.7123238115,37.40090909875,126.7123238115,True,False,행정구역 코드와 주소 충돌: 주소 기준 남동구로 수정
KP000261_02,KP000261,LH인천본부,인천광역시 남동구 논현로46번길 23,제물포구,남동구,37.40090909875,126.7123238115,37.40090909875,126.7123238115,True,False,행정구역 코드와 주소 충돌: 주소 기준 남동구로 수정
KP000837_01,KP000837,구월아시아드선수촌센트럴자이 아파트,인천광역시 남동구 구월동 선수촌로 55,제물포구,남동구,37.4433503882,126.7124586022,37.4433503882,126.7124586022,True,False,행정구역 코드와 주소 충돌: 주소 기준 남동구로 수정
KP000837_02,KP000837,구월아시아드선수촌센트럴자이 아파트,인천광역시 남동구 구월동 선수촌로 55,제물포구,남동구,37.4433503882,126.7124586022,37.4433503882,126.7124586022,True,False,행정구역 코드와 주소 충돌: 주소 기준 남동구로 수정
KP000837_03,KP000837,구월아시아드선수촌센트럴자이 아파트,인천광역시 남동구 구월동 선수촌로 55,제물포구,남동구,37.4433503882,126.7124586022,37.4433503882,126.7124586022,True,False,행정구역 코드와 주소 충돌: 주소 기준 남동구로 수정
KP000837_04,KP000837,구월아시아드선수촌센트럴자이 아파트,인천광역시 남동구 구월동 선수촌로 55,제물포구,남동구,37.4433503882,126.7124586022,37.4433503882,126.7124586022,True,False,행정구역 코드와 주소 충돌: 주소 기준 남동구로 수정
KP000838_01,KP000838,서창 LH3단지 청아안,인천광역시 남동구 서창동 서창남순환로 110,제물포구,남동구,37.4301367627,126.746598716,37.4301367627,126.746598716,True,False,행정구역 코드와 주소 충돌: 주소 기준 남동구로 수정
KP000838_02,KP000838,서창 LH3단지 청아안,인천광역시 남동구 서창동 서창남순환로 110,제물포구,남동구,37.4301367627,126.746598716,37.4301367627,126.746598716,True,False,행정구역 코드와 주소 충돌: 주소 기준 남동구로 수정
KP000838_03,KP000838,서창 LH3단지 청아안,인천광역시 남동구 서창동 서창남순환로 110,제물포구,남동구,37.4301367627,126.746598716,37.4301367627,126.746598716,True,False,행정구역 코드와 주소 충돌: 주소 기준 남동구로 수정
KP001026_01,KP001026,에코메트로10단지,인천광역시 남동구 논현동 아암대로1503번길 21,제물포구,남동구,37.3912434841,126.7279614345,37.3912434841,126.7279614345,True,False,행정구역 코드와 주소 충돌: 주소 기준 남동구로 수정
KP001026_02,KP001026,에코메트로10단지,인천광역시 남동구 논현동 아암대로1503번길 21,제물포구,남동구,37.3912434841,126.7279614345,37.3912434841,126.7279614345,True,False,행정구역 코드와 주소 충돌: 주소 기준 남동구로 수정
