statNm,statId,chgerId,chgerType,addr,addrDetail,location,lat,lng,useTime,busiId,bnm,busiNm,busiCall,stat,statUpdDt,lastTsdt,lastTedt,nowTsdt,powerType,output,method,zcode,zscode,kind,kindDetail,parkingFree,note,limitYn,limitDetail,delYn,delDetail,trafficYn,year,floorNum,floorType,maker
강화풍물시장 공영주차장,ME174119,01,06,인천광역시 강화군 강화읍 갑곳리 849, 고엽제전우회 건물 옆,null,37.7404676,126.4919478,24시간 이용가능,ME,환경부,환경부,1661-9408,2,20260716093307,20260712152240,20260712154431,,,50,단독,28,28710,B0,B001,Y,,N,,N,,N,2017,1,F,시그넷
계산1택지 공영주차장,ME174120,01,06,인천광역시 계양구 계산동 1060, 구두수선방 옆,null,37.540182019,126.73630068,24시간 이용가능,ME,환경부,환경부,1661-9408,2,20260716093246,20260715231543,20260715235902,,,50,단독,28,28245,B0,B001,Y,,N,,N,,N,2017,1,F,시그넷
㈜현대자동차 블루핸즈 서인천 서비스 주차장 입구,ME174125,01,06,인천광역시 서해구 원석로 160, 주차장 입구 우측 완속충전기 옆,null,37.509973287,126.64197627,평일08:30~18:00,ME,기후에너지환경부,기후에너지환경부,1661-9408,2,20260716093248,20260715133707,20260715141022,,,50,단독,28,28275,F0,F001,Y,,N,,N,,N,2017,1,F,시그넷
도원역 부근 공영주차장,ME174128,01,06,인천광역시 제물포구 도원동 5-7, 주차장 입구,null,37.467239217,126.64140301,24시간 이용가능,ME,기후에너지환경부,기후에너지환경부,1661-9408,2,20260716093256,20260716054223,20260716062544,,,50,단독,28,28125,B0,B001,Y,,N,,N,,N,2017,1,F,시그넷
송도골프,ME181106,01,06,인천광역시 연수구 능허대로 236,null,null,37.414739803,126.65126359,24시간 이용가능,ME,환경부,환경부,1661-9408,2,20260716093308,20260716082546,20260716090906,,,50,단독,28,28185,E0,E004,Y,,N,,N,,N,2018,1,F,시그넷
송도골프,ME181106,02,06,인천광역시 연수구 능허대로 236,null,null,37.414739803,126.65126359,24시간 이용가능,ME,환경부,환경부,1661-9408,2,20260716093305,20260715132651,20260715141011,,,50,단독,28,28185,E0,E004,Y,,N,,N,,N,2018,1,F,시그넷
덕산국민여가캠핑장,ME183080,01,06,인천광역시 강화군 내가면 고천리 산494,null,null,37.7175253,126.3808179,24시간 이용가능,ME,환경부,환경부,1661-9408,2,20260716093154,20260715142813,20260715142953,,,50,단독,28,28710,A0,A004,Y,,N,,N,,N,2018,1,F,채비
인천시청,ME184082,01,06,인천광역시 남동구 정각로 29,null,null,37.455605,126.704138,24시간 이용가능,ME,환경부,환경부,1661-9408,2,20260716092819,20260715134614,20260715164024,,,50,단독,28,28200,A0,A001,Y,,N,,N,,N,2018,1,F,시그넷
송도컨벤시아,ME184083,01,06,인천광역시 연수구 센트럴로 123,", 지하주차장 1층",null,37.3891519,126.6465433,06:00~20:00,ME,환경부,환경부,1661-9408,2,20260716093047,20260716092310,20260716093042,,,50,단독,28,28185,D0,D002,N,,N,,N,,N,2018,1,B,시그넷
온수리 공영 주차장,ME18B188,01,06,인천광역시 강화군 길상면 온수리 546-34,null,null,37.63936,126.49185,24시간 이용가능,ME,환경부,환경부,1661-9408,3,20260716093118,20260716053136,20260716060147,20260716085612,,100,단독,28,28710,B0,B001,Y,,N,,N,,N,2018,1,F,채비
모탱이공원,ME18B189,01,06,인천광역시 계양구 동양동 607-1,null,null,37.561762889,126.75501295,24시간 이용가능,ME,기후에너지환경부,환경부,1661-9408,2,20260716092948,20260716073214,20260716081520,,,100,단독,28,28245,B0,B001,Y,,N,,N,,N,2018,1,F,채비
현대시장 공영주차장,ME18B190,01,06,인천광역시 제물포구 송림동 49-172,null,null,37.4770884,126.6470791,24시간 이용가능,ME,기후에너지환경부,기후에너지환경부,1661-9408,2,20260716092911,20260714121457,20260714125802,,,100,단독,28,28125,B0,B001,N,,N,,N,,N,2018,1,F,채비
인천나비공원 주차장,ME18B191,01,06,인천광역시 부평구 청천동 125-3,null,null,37.52066,126.69698,24시간 이용가능,ME,기후에너지환경부,환경부,1661-9408,2,20260716092835,20260715221034,20260715222346,,,100,단독,28,28237,B0,B001,Y,,N,,N,,N,2018,1,F,채비
가좌2동 행정복지센터,ME18B192,01,06,인천광역시 서해구 가좌동 30-105,null,null,37.4907590,126.6852272,24시간 이용가능,ME,기후에너지환경부,기후에너지환경부,1661-9408,2,20260716092834,20260715225258,20260715232703,,,100,단독,28,28275,A0,A002,Y,,N,,N,,N,2018,1,F,채비
이마트 동인천점,ME18B193,01,06,인천광역시 제물포구 인중로 134,null,null,37.46648,126.62911,24시간 이용가능,ME,기후에너지환경부,기후에너지환경부,1661-9408,2,20260716092904,20260710105511,20260710110207,,,100,단독,28,28125,E0,E001,Y,,N,,N,,N,2018,3,F,채비
인천공항물류단지 행정지원센터,ME18B194,01,06,인천광역시 영종구 공항동로 296번길 69,null,null,37.479452511,126.47769637,24시간 이용가능,ME,기후에너지환경부,기후에너지환경부,1661-9408,2,20260716092846,20260716084518,20260716085004,,,100,단독,28,28155,A0,A003,N,,N,,N,,N,2018,1,F,채비
월미공원 제2주차장,ME18B195,01,06,인천광역시 제물포구 북성동1가,97-32,null,37.4772813,126.5987024,24시간 이용가능,ME,기후에너지환경부,기후에너지환경부,1661-9408,2,20260716092850,20260713162000,20260713163236,,,100,단독,28,28125,B0,B001,N,,N,,N,,N,2018,1,F,채비
신기남부종합시장 주차장,ME18B196,01,06,인천광역시 미추홀구 주안동 1311-17,null,null,37.4464524,126.6784408,24시간 이용가능,ME,기후에너지환경부,환경부,1661-9408,2,20260716090624,20260716013207,20260716021511,,,100,단독,28,28177,B0,B001,N,,N,,N,,N,2018,1,F,채비
인천교통공사 본사,ME18B197,01,06,인천광역시 남동구 경인로 674,null,null,37.47002,126.70890,"평일(09:00~18:00), 주말 및 공휴일(미개방)",ME,환경부,환경부,1661-9408,2,20260716092848,20260715150322,20260715153432,,,100,단독,28,28200,A0,A003,Y,,N,,N,,N,2018,1,F,채비
부평깡시장 공영주차장,ME18B198,01,06,인천광역시 부평구 부흥로 315,null,null,37.49901,126.72673,24시간 이용가능,ME,환경부,환경부,1661-9408,2,20260716092857,20260716090147,20260716090813,,,100,단독,28,28237,B0,B001,N,,N,,N,,N,2018,1,F,채비
갈산역 공영주차장,ME18B199,01,06,인천광역시 부평구 갈산동 192,null,null,37.5155424,126.7237655,24시간 이용가능(운영시간외 무료),ME,환경부,환경부,1661-9408,2,20260716092910,20260716072413,20260716075614,,,100,단독,28,28237,B0,B001,N,,N,,N,,N,2018,1,F,채비
서운체육공원 주차장,ME18B291,11,04,인천광역시 계양구 서운동 207,null,null,37.530983535,126.74587044,24시간 이용가능,ME,환경부,환경부,1661-9408,2,20260716093128,20260715191431,20260715195612,,,200,동시,28,28245,B0,B002,Y,,N,,N,,N,2018,1,F,채비
서운체육공원 주차장,ME18B291,12,04,인천광역시 계양구 서운동 207,null,null,37.530983535,126.74587044,24시간 이용가능,ME,기후에너지환경부,환경부,1661-9408,2,20260716093127,20260716032219,20260716040520,,,200,동시,28,28245,B0,B002,Y,,N,,N,,N,2018,1,F,채비
열우물경기장,ME18B292,11,04,인천광역시 부평구 십정동 109-2,null,null,37.478815110,126.69263610,24시간 이용가능,ME,환경부,환경부,1661-9408,2,20260716092853,20260716085005,20260716091811,,,200,동시,28,28237,J0,J007,Y,,N,,N,,N,2018,1,F,채비
열우물경기장,ME18B292,12,04,인천광역시 부평구 십정동 109-2,null,null,37.478815110,126.69263610,24시간 이용가능,ME,환경부,환경부,1661-9408,2,20260716092854,20260715205529,20260715212316,,,200,동시,28,28237,J0,J007,Y,,N,,N,,N,2018,1,F,채비
로봇타워,ME18B293,11,04,인천광역시 서해구 로봇랜드로 155-11,null,null,37.5280515,126.6081737,24시간 이용가능,ME,기후에너지환경부,기후에너지환경부,1661-9408,2,20260716093042,20260715111514,20260715140015,,,200,동시,28,28275,A0,A004,Y,,N,,N,,N,2018,1,B,채비
로봇타워,ME18B293,12,04,인천광역시 서해구 로봇랜드로 155-11,null,null,37.5280515,126.6081737,24시간 이용가능,ME,기후에너지환경부,기후에너지환경부,1661-9408,3,20260716093214,20260716065913,20260716071624,20260716090707,,200,동시,28,28275,A0,A004,Y,,N,,N,,N,2018,1,B,채비
청라중앙호수공원 2주차장,ME18B294,11,04,인천광역시 서해구 경서동 638-5,null,null,37.527265,126.63678,24시간 이용가능,ME,기후에너지환경부,기후에너지환경부,1661-9408,2,20260716093227,20260716084112,20260716092228,,,200,동시,28,28275,B0,B002,Y,,N,,N,,N,2018,1,F,채비
청라중앙호수공원 2주차장,ME18B294,12,04,인천광역시 서해구 경서동 638-5,null,null,37.527265,126.63678,24시간 이용가능,ME,기후에너지환경부,기후에너지환경부,1661-9408,2,20260716093229,20260715225642,20260715232923,,,200,동시,28,28275,B0,B002,Y,,N,,N,,N,2018,1,F,채비
서곶근린공원 제1주차장,ME18B295,11,04,인천광역시 서해구 연희동 산150-5,null,null,37.54766783,126.68108195,24시간 이용가능,ME,기후에너지환경부,기후에너지환경부,1661-9408,2,20260716092922,20260715215055,20260715222501,,,200,동시,28,28275,B0,B002,Y,,N,,N,,N,2018,1,F,채비
서곶근린공원 제1주차장,ME18B295,12,04,인천광역시 서해구 연희동 산150-5,null,null,37.54766783,126.68108195,24시간 이용가능,ME,기후에너지환경부,기후에너지환경부,1661-9408,2,20260716092921,20260716051612,20260716053302,,,200,동시,28,28275,B0,B002,Y,,N,,N,,N,2018,1,F,채비
아트센터인천,ME18B296,11,04,인천광역시 연수구 아트센터대로 222,null,null,37.39439,126.62722,07:00~23:00,ME,환경부,환경부,1661-9408,2,20260716092825,20260716080711,20260716084603,,,200,동시,28,28185,J0,J004,N,,N,,N,,N,2018,1,F,채비
아트센터인천,ME18B296,12,04,인천광역시 연수구 아트센터대로 222,null,null,37.39439,126.62722,07:00~23:00,ME,환경부,환경부,1661-9408,2,20260716092823,20260716084401,20260716090805,,,200,동시,28,28185,J0,J004,N,,N,,N,,N,2018,1,F,채비
연수구청,ME18B297,11,04,인천광역시 연수구 원인재로 115,null,null,37.4104617,126.6782309,24시간 이용가능,ME,기후에너지환경부,기후에너지환경부,1661-9408,2,20260716093215,20260715190557,20260715194901,,,200,동시,28,28185,A0,A001,N,,N,,N,,N,2018,1,F,채비
연수구청,ME18B297,12,04,인천광역시 연수구 원인재로 115,null,null,37.4104617,126.6782309,24시간 이용가능,ME,기후에너지환경부,기후에너지환경부,1661-9408,2,20260716093214,20260715220230,20260715224532,,,200,동시,28,28185,A0,A001,N,,N,,N,,N,2018,1,F,채비
십리포해수욕장 주차장,ME18B298,11,04,인천광역시 옹진군 영흥면 영흥북로 382 ,null,null,37.28163,126.48604,24시간 이용가능,ME,환경부,환경부,1661-9408,2,20260716093156,20260715171136,20260715175437,,,200,동시,28,28720,B0,B001,N,,N,,N,,N,2018,1,F,채비
십리포해수욕장 주차장,ME18B298,12,04,인천광역시 옹진군 영흥면 영흥북로 382 ,null,null,37.28163,126.48604,24시간 이용가능,ME,환경부,환경부,1661-9408,2,20260716093158,20260712175123,20260712183116,,,200,동시,28,28720,B0,B001,N,,N,,N,,N,2018,1,F,채비
인천아시안게임 남동경기장 1주차장,ME18B299,11,04,인천광역시 남동구 수산동 394-54,null,null,37.43936,126.73344,24시간 이용가능,ME,기후에너지환경부,환경부,1661-9408,2,20260716093141,20260716045447,20260716051743,,,200,동시,28,28200,J0,J007,Y,,N,,N,,N,2018,1,F,채비
인천아시안게임 남동경기장 1주차장,ME18B299,12,04,인천광역시 남동구 수산동 394-54,null,null,37.43936,126.73344,24시간 이용가능,ME,환경부,환경부,1661-9408,2,20260716093144,20260716015241,20260716020045,,,200,동시,28,28200,J0,J007,Y,,N,,N,,N,2018,1,F,채비
