charger_uid,statNm,addr,lat,lng,district_by_code,zscode,is_deleted
EC003698_01,주식회사 라코아 지하1층 주차장,인천광역시 남동구 서창남순환로10번길 50,35.2077666,128.999389,남동구,28200,False
EV013001_01,인천남동 만수주공2단지 1,"인천광역시 남동구 백범로124번길 43 (만수동, 만수주공2단지아파트)201동 앞 지상주차장",35.0108191,126.7831812,남동구,28200,False
EV013001_02,인천남동 만수주공2단지 1,"인천광역시 남동구 백범로124번길 43 (만수동, 만수주공2단지아파트)201동 앞 지상주차장",35.0108191,126.7831812,남동구,28200,False
EV013001_03,인천남동 만수주공2단지 1,"인천광역시 남동구 백범로124번길 43 (만수동, 만수주공2단지아파트)201동 앞 지상주차장",35.0108191,126.7831812,남동구,28200,False
EV013002_01,인천남동 만수주공2단지 2,"인천광역시 남동구 백범로124번길 43 (만수동, 만수주공2단지아파트)214동 앞 지상주차장",35.0108191,126.7831812,남동구,28200,False
EV013002_02,인천남동 만수주공2단지 2,"인천광역시 남동구 백범로124번길 43 (만수동, 만수주공2단지아파트)214동 앞 지상주차장",35.0108191,126.7831812,남동구,28200,False
EV013002_03,인천남동 만수주공2단지 2,"인천광역시 남동구 백범로124번길 43 (만수동, 만수주공2단지아파트)214동 앞 지상주차장",35.0108191,126.7831812,남동구,28200,False
EV013002_04,인천남동 만수주공2단지 2,"인천광역시 남동구 백범로124번길 43 (만수동, 만수주공2단지아파트)214동 앞 지상주차장",35.0108191,126.7831812,남동구,28200,False
EV013002_05,인천남동 만수주공2단지 2,"인천광역시 남동구 백범로124번길 43 (만수동, 만수주공2단지아파트)214동 앞 지상주차장",35.0108191,126.7831812,남동구,28200,False
EV013002_06,인천남동 만수주공2단지 2,"인천광역시 남동구 백범로124번길 43 (만수동, 만수주공2단지아파트)214동 앞 지상주차장",35.0108191,126.7831812,남동구,28200,False
EV013002_07,인천남동 만수주공2단지 2,"인천광역시 남동구 백범로124번길 43 (만수동, 만수주공2단지아파트)214동 앞 지상주차장",35.0108191,126.7831812,남동구,28200,False
EV013003_01,인천남동 만수주공2단지 3,"인천광역시 남동구 백범로124번길 43 (만수동, 만수주공2단지아파트)211동 앞 지상주차장",35.0108191,126.7831812,남동구,28200,False
EV013003_02,인천남동 만수주공2단지 3,"인천광역시 남동구 백범로124번길 43 (만수동, 만수주공2단지아파트)211동 앞 지상주차장",35.0108191,126.7831812,남동구,28200,False
EV013003_03,인천남동 만수주공2단지 3,"인천광역시 남동구 백범로124번길 43 (만수동, 만수주공2단지아파트)211동 앞 지상주차장",35.0108191,126.7831812,남동구,28200,False
EV013003_04,인천남동 만수주공2단지 3,"인천광역시 남동구 백범로124번길 43 (만수동, 만수주공2단지아파트)211동 앞 지상주차장",35.0108191,126.7831812,남동구,28200,False
EV013003_05,인천남동 만수주공2단지 3,"인천광역시 남동구 백범로124번길 43 (만수동, 만수주공2단지아파트)211동 앞 지상주차장",35.0108191,126.7831812,남동구,28200,False
EV013003_06,인천남동 만수주공2단지 3,"인천광역시 남동구 백범로124번길 43 (만수동, 만수주공2단지아파트)211동 앞 지상주차장",35.0108191,126.7831812,남동구,28200,False
EZ001286_01,현대 자동차 운전전문학원,인천광역시 계양구 아나지로 561,36.0857088,128.1093714,계양구,28245,False
HE240400_01,신동아파밀리에명품,인천광역시 남동구 염전로 440,33.287911339,126.57865221,남동구,28200,False
HE240400_02,신동아파밀리에명품,인천광역시 남동구 염전로 440,33.287911339,126.57865221,남동구,28200,False
HE240400_03,신동아파밀리에명품,인천광역시 남동구 염전로 440,33.287911339,126.57865221,남동구,28200,False
HE240400_04,신동아파밀리에명품,인천광역시 남동구 염전로 440,33.287911339,126.57865221,남동구,28200,False
HE240400_05,신동아파밀리에명품,인천광역시 남동구 염전로 440,33.287911339,126.57865221,남동구,28200,False
HE240400_06,신동아파밀리에명품,인천광역시 남동구 염전로 440,33.287911339,126.57865221,남동구,28200,False
HE240400_07,신동아파밀리에명품,인천광역시 남동구 염전로 440,33.287911339,126.57865221,남동구,28200,False
HE240400_08,신동아파밀리에명품,인천광역시 남동구 염전로 440,33.287911339,126.57865221,남동구,28200,False
HE240400_09,신동아파밀리에명품,인천광역시 남동구 염전로 440,33.287911339,126.57865221,남동구,28200,False
HE240400_10,신동아파밀리에명품,인천광역시 남동구 염전로 440,33.287911339,126.57865221,남동구,28200,False
HE240400_11,신동아파밀리에명품,인천광역시 남동구 염전로 440,33.287911339,126.57865221,남동구,28200,False
HE240400_12,신동아파밀리에명품,인천광역시 남동구 염전로 440,33.287911339,126.57865221,남동구,28200,False
HE240400_13,신동아파밀리에명품,인천광역시 남동구 염전로 440,33.287911339,126.57865221,남동구,28200,False
HE240400_14,신동아파밀리에명품,인천광역시 남동구 염전로 440,33.287911339,126.57865221,남동구,28200,False
HE240400_15,신동아파밀리에명품,인천광역시 남동구 염전로 440,33.287911339,126.57865221,남동구,28200,False
HE240400_16,신동아파밀리에명품,인천광역시 남동구 염전로 440,33.287911339,126.57865221,남동구,28200,False
IN032039_01,산곡1동현대아파트,인천광역시 부평구 원적로269번길 15,35.5057,126.6941,부평구,28237,True
IN032039_02,산곡1동현대아파트,인천광역시 부평구 원적로269번길 15,35.5057,126.6941,부평구,28237,True
IN032039_03,산곡1동현대아파트,인천광역시 부평구 원적로269번길 15,35.5057,126.6941,부평구,28237,True
PIS00394_01,인천 부평구 산곡1동현대아파트,인천광역시 부평구 원적로269번길 15,35.5057,126.6941,부평구,28237,False
PIS00394_02,인천 부평구 산곡1동현대아파트,인천광역시 부평구 원적로269번길 15,35.5057,126.6941,부평구,28237,False
