dbscan_cluster,station_count,total_charger_count,public_charger_count,avg_nearest_station_distance_m,district_count
1,1948,11633,3287,68.43,7
5,506,3939,965,58.65,1
3,477,3248,1423,55.58,1
7,313,1665,373,69.07,2
8,226,1387,391,54.26,1
13,154,776,204,52.87,1
10,118,828,360,63.78,1
19,109,1302,81,73.16,1
9,103,597,132,50.05,1
16,94,628,184,62.49,1
6,51,261,112,66.79,1
0,40,82,60,101.0,1
31,38,470,404,105.73,1
17,38,183,62,39.71,1
22,36,549,326,59.32,1
25,36,248,32,66.05,1
27,24,169,4,26.37,1
20,22,119,5,16.38,1
2,19,79,57,106.03,1
24,18,65,29,87.68,1
12,17,79,76,108.98,1
11,17,77,40,83.97,1
29,17,59,16,10.01,1
30,15,331,119,53.38,1
4,15,65,9,76.66,1
28,14,78,26,22.57,1
23,14,68,14,72.05,1
21,13,72,37,72.6,1
15,13,49,14,81.88,1
18,12,64,20,78.32,1
14,11,31,10,83.62,1
26,10,92,7,55.82,1
32,10,52,20,71.25,1
33,9,127,8,82.64,1
