eps_meters,min_samples,cluster_count,noise_station_count,noise_ratio_percent,largest_cluster_ratio_percent,adopted_for_final_analysis,non_adoption_reason
250,4,171,769,14.93,7.15,False,인천의 도심·외곽·섬 지역 밀도 차이와 eps/min_samples 민감성 때문에 최종 취약지역 지표로 사용하지 않고 탐색적 보조 분석으로만 활용
250,5,157,972,18.87,6.54,False,인천의 도심·외곽·섬 지역 밀도 차이와 eps/min_samples 민감성 때문에 최종 취약지역 지표로 사용하지 않고 탐색적 보조 분석으로만 활용
250,8,130,1735,33.69,3.96,False,인천의 도심·외곽·섬 지역 밀도 차이와 eps/min_samples 민감성 때문에 최종 취약지역 지표로 사용하지 않고 탐색적 보조 분석으로만 활용
250,10,111,2286,44.39,3.5,False,인천의 도심·외곽·섬 지역 밀도 차이와 eps/min_samples 민감성 때문에 최종 취약지역 지표로 사용하지 않고 탐색적 보조 분석으로만 활용
350,4,88,465,9.03,18.21,False,인천의 도심·외곽·섬 지역 밀도 차이와 eps/min_samples 민감성 때문에 최종 취약지역 지표로 사용하지 않고 탐색적 보조 분석으로만 활용
350,5,84,537,10.43,17.36,False,인천의 도심·외곽·섬 지역 밀도 차이와 eps/min_samples 민감성 때문에 최종 취약지역 지표로 사용하지 않고 탐색적 보조 분석으로만 활용
350,8,79,867,16.83,14.83,False,인천의 도심·외곽·섬 지역 밀도 차이와 eps/min_samples 민감성 때문에 최종 취약지역 지표로 사용하지 않고 탐색적 보조 분석으로만 활용
350,10,68,1160,22.52,14.06,False,인천의 도심·외곽·섬 지역 밀도 차이와 eps/min_samples 민감성 때문에 최종 취약지역 지표로 사용하지 않고 탐색적 보조 분석으로만 활용
450,4,58,358,6.95,38.29,False,인천의 도심·외곽·섬 지역 밀도 차이와 eps/min_samples 민감성 때문에 최종 취약지역 지표로 사용하지 않고 탐색적 보조 분석으로만 활용
450,5,52,402,7.81,37.67,False,인천의 도심·외곽·섬 지역 밀도 차이와 eps/min_samples 민감성 때문에 최종 취약지역 지표로 사용하지 않고 탐색적 보조 분석으로만 활용
450,8,47,535,10.39,36.6,False,인천의 도심·외곽·섬 지역 밀도 차이와 eps/min_samples 민감성 때문에 최종 취약지역 지표로 사용하지 않고 탐색적 보조 분석으로만 활용
450,10,41,672,13.05,34.89,False,인천의 도심·외곽·섬 지역 밀도 차이와 eps/min_samples 민감성 때문에 최종 취약지역 지표로 사용하지 않고 탐색적 보조 분석으로만 활용
500,4,58,298,5.79,48.87,False,인천의 도심·외곽·섬 지역 밀도 차이와 eps/min_samples 민감성 때문에 최종 취약지역 지표로 사용하지 않고 탐색적 보조 분석으로만 활용
500,5,45,367,7.13,48.83,False,인천의 도심·외곽·섬 지역 밀도 차이와 eps/min_samples 민감성 때문에 최종 취약지역 지표로 사용하지 않고 탐색적 보조 분석으로만 활용
500,8,39,464,9.01,38.82,False,인천의 도심·외곽·섬 지역 밀도 차이와 eps/min_samples 민감성 때문에 최종 취약지역 지표로 사용하지 않고 탐색적 보조 분석으로만 활용
500,10,34,593,11.51,37.83,False,인천의 도심·외곽·섬 지역 밀도 차이와 eps/min_samples 민감성 때문에 최종 취약지역 지표로 사용하지 않고 탐색적 보조 분석으로만 활용
650,4,55,182,3.53,73.81,False,인천의 도심·외곽·섬 지역 밀도 차이와 eps/min_samples 민감성 때문에 최종 취약지역 지표로 사용하지 않고 탐색적 보조 분석으로만 활용
650,5,35,287,5.57,73.59,False,인천의 도심·외곽·섬 지역 밀도 차이와 eps/min_samples 민감성 때문에 최종 취약지역 지표로 사용하지 않고 탐색적 보조 분석으로만 활용
650,8,24,374,7.26,73.2,False,인천의 도심·외곽·섬 지역 밀도 차이와 eps/min_samples 민감성 때문에 최종 취약지역 지표로 사용하지 않고 탐색적 보조 분석으로만 활용
650,10,19,443,8.6,51.46,False,인천의 도심·외곽·섬 지역 밀도 차이와 eps/min_samples 민감성 때문에 최종 취약지역 지표로 사용하지 않고 탐색적 보조 분석으로만 활용
750,4,45,168,3.26,75.18,False,인천의 도심·외곽·섬 지역 밀도 차이와 eps/min_samples 민감성 때문에 최종 취약지역 지표로 사용하지 않고 탐색적 보조 분석으로만 활용
750,5,34,232,4.5,74.89,False,인천의 도심·외곽·섬 지역 밀도 차이와 eps/min_samples 민감성 때문에 최종 취약지역 지표로 사용하지 않고 탐색적 보조 분석으로만 활용
750,8,20,337,6.54,74.66,False,인천의 도심·외곽·섬 지역 밀도 차이와 eps/min_samples 민감성 때문에 최종 취약지역 지표로 사용하지 않고 탐색적 보조 분석으로만 활용
750,10,17,383,7.44,74.33,False,인천의 도심·외곽·섬 지역 밀도 차이와 eps/min_samples 민감성 때문에 최종 취약지역 지표로 사용하지 않고 탐색적 보조 분석으로만 활용
800,4,38,143,2.78,76.0,False,인천의 도심·외곽·섬 지역 밀도 차이와 eps/min_samples 민감성 때문에 최종 취약지역 지표로 사용하지 않고 탐색적 보조 분석으로만 활용
800,5,30,190,3.69,75.77,False,인천의 도심·외곽·섬 지역 밀도 차이와 eps/min_samples 민감성 때문에 최종 취약지역 지표로 사용하지 않고 탐색적 보조 분석으로만 활용
800,8,18,303,5.88,75.13,False,인천의 도심·외곽·섬 지역 밀도 차이와 eps/min_samples 민감성 때문에 최종 취약지역 지표로 사용하지 않고 탐색적 보조 분석으로만 활용
800,10,16,337,6.54,74.8,False,인천의 도심·외곽·섬 지역 밀도 차이와 eps/min_samples 민감성 때문에 최종 취약지역 지표로 사용하지 않고 탐색적 보조 분석으로만 활용
1000,4,25,102,1.98,87.3,False,인천의 도심·외곽·섬 지역 밀도 차이와 eps/min_samples 민감성 때문에 최종 취약지역 지표로 사용하지 않고 탐색적 보조 분석으로만 활용
1000,5,25,118,2.29,87.24,False,인천의 도심·외곽·섬 지역 밀도 차이와 eps/min_samples 민감성 때문에 최종 취약지역 지표로 사용하지 않고 탐색적 보조 분석으로만 활용
1000,8,10,226,4.39,86.95,False,인천의 도심·외곽·섬 지역 밀도 차이와 eps/min_samples 민감성 때문에 최종 취약지역 지표로 사용하지 않고 탐색적 보조 분석으로만 활용
1000,10,11,257,4.99,86.56,False,인천의 도심·외곽·섬 지역 밀도 차이와 eps/min_samples 민감성 때문에 최종 취약지역 지표로 사용하지 않고 탐색적 보조 분석으로만 활용
1100,4,23,82,1.59,87.36,False,인천의 도심·외곽·섬 지역 밀도 차이와 eps/min_samples 민감성 때문에 최종 취약지역 지표로 사용하지 않고 탐색적 보조 분석으로만 활용
1100,5,23,96,1.86,87.3,False,인천의 도심·외곽·섬 지역 밀도 차이와 eps/min_samples 민감성 때문에 최종 취약지역 지표로 사용하지 않고 탐색적 보조 분석으로만 활용
1100,8,8,203,3.94,87.22,False,인천의 도심·외곽·섬 지역 밀도 차이와 eps/min_samples 민감성 때문에 최종 취약지역 지표로 사용하지 않고 탐색적 보조 분석으로만 활용
1100,10,9,222,4.31,87.11,False,인천의 도심·외곽·섬 지역 밀도 차이와 eps/min_samples 민감성 때문에 최종 취약지역 지표로 사용하지 않고 탐색적 보조 분석으로만 활용
1300,4,24,59,1.15,87.4,False,인천의 도심·외곽·섬 지역 밀도 차이와 eps/min_samples 민감성 때문에 최종 취약지역 지표로 사용하지 않고 탐색적 보조 분석으로만 활용
1300,5,20,81,1.57,87.4,False,인천의 도심·외곽·섬 지역 밀도 차이와 eps/min_samples 민감성 때문에 최종 취약지역 지표로 사용하지 않고 탐색적 보조 분석으로만 활용
1300,8,9,174,3.38,87.38,False,인천의 도심·외곽·섬 지역 밀도 차이와 eps/min_samples 민감성 때문에 최종 취약지역 지표로 사용하지 않고 탐색적 보조 분석으로만 활용
1300,10,7,202,3.92,87.36,False,인천의 도심·외곽·섬 지역 밀도 차이와 eps/min_samples 민감성 때문에 최종 취약지역 지표로 사용하지 않고 탐색적 보조 분석으로만 활용
