station_id,station_name,district_2024,latitude,longitude,charger_count,public_charger_count,nearest_station_distance_m,representative_address
ME25A140,강화평화전망대 주차장,강화군,37.825308,126.4342313,1,1,3759.42,인천광역시 강화군 양사면 철산리 11-44
EZ001034,한울다솜,강화군,37.7694196,126.3583946,1,1,2899.18,인천광역시 강화군 하점면 창후로288번길 13 입구 부근
MO910178,순교자의모후전교수녀회,강화군,37.6530504,126.4518538,1,1,2717.03,인천광역시 강화군 양도면 고려왕릉로 33 순교자의모후전교수녀회 옥외주차장
ME24B151,덕적친환경에너지홍보관,옹진군,37.238704,126.119842,1,1,2557.82,인천광역시 옹진군 덕적면 덕적남로 591
ME25A258,아라파크웨이 공영주차장,계양구,37.5834957,126.7733907,2,2,2512.51,인천광역시 계양구 평동 17-15
SOJWE008,바바벨리펜션,강화군,37.66769825,126.35741442,1,1,2305.82,인천광역시 강화군 삼산면 삼산남로 382-2 바바벨리펜션 주차장(숙박시설 앞)
ME24A251,신도바다역,옹진군,37.5150769,126.4388447,2,2,2115.85,인천광역시 옹진군 북도면 신도로 5-1
PI320236,인천시 강화군 리니스하우스,강화군,37.690595978,126.41700002,1,1,2089.89,인천광역시 강화군 양도면 강화남로 1077-23 주차장
CI0L0011,프랭클리 로스터리 커피,강화군,37.728488,126.4509896,1,1,2017.46,인천광역시 강화군 선원면 시리미로237번길 32 프랭클리 로스터리 커피
ME24B148,자월면사무소,옹진군,37.254528,126.307363,1,1,1985.52,인천광역시 옹진군 자월면 자월서로164
HRA00077,별난해변펜션,옹진군,37.260696,126.286347,1,1,1985.52,인천광역시 옹진군 자월면 자월서로359번길 132
ME24A250,북도면사무소,옹진군,37.5326763,126.4296267,2,2,1850.33,인천광역시 옹진군 북도면 시도로 82
EP230250,인천 강화천문과학관 급속충전소(조달청),강화군,37.7735314,126.3908998,2,2,1829.44,"인천 강화군 하점면 강화서로 915-1 (이강리, 심은미술관) 주차장"
KP004580,하점면사무소,강화군,37.77443,126.41164,1,1,1829.44,인천광역시 강화군 하점면 강화대로 1220
CGG00004,강화 씨사이드리조트(실외주차장),강화군,37.6171221,126.4981148,20,20,1584.97,인천광역시 강화군 길상면 장흥로 217 강화 씨사이드리조트 실외주차장(테슬라 충전소 옆)
ME25A232,삼산면 매음리 제1공영주차장,강화군,37.6851974,126.3163775,2,2,1574.6,인천광역시 강화군 삼산면 매음리 641-10
PL000731,황금빛노을펜션,강화군,37.6924067,126.3009967,2,0,1574.6,인천광역시 강화군 삼산면 삼산남로 998
HM001056,해담펜션,강화군,37.67257758,126.40936534,2,2,1555.5,인천광역시 강화군 양도면 해안서로 420-48
ME20A1b7,"양도면사무소, 보건지소",강화군,37.66288936,126.42211183,1,1,1555.5,인천광역시 강화군 양도면 강화남로 708-2
SF003399,덕적도 자연휴양림 (완속충전기),옹진군,37.215253665,126.13803652,2,2,1528.93,인천광역시 옹진군 덕적면 덕적남로 220 덕적도 자연휴양림 (완속충전기)
CV000199,한국가스공사 인천기지본부,연수구,37.349515,126.60881,2,0,1493.07,인천광역시 연수구 인천신항대로 960 한국가스공사 인천기지본부 지상1층 야외주차장
PI320352,인천시 연수구 오렌지듄스GC,연수구,37.353958,126.592898,6,6,1493.07,인천광역시 연수구 인천신항대로 1120 클럽하우스앞 지상주차장(카트 보관소앞)
ME25A335,석모도만남의광장 공영주차장,강화군,37.6945463,126.3492504,3,3,1468.34,인천광역시 강화군 삼산면 석포리 547-15
EP320100,㈜카이스시스템(아로니움),강화군,37.687881807,126.36363691,1,1,1468.34,인천광역시 강화군 삼산면 삼산남로 85-11 구내주차장/옥외
EZ000246,포시즌,강화군,37.688647,126.3898723,1,1,1436.76,인천광역시 영종구 을왕로40번길 10 옥외 주차면
PI320241,인천시 옹진군 측도펜션,옹진군,37.233271999,126.51767051,1,1,1434.79,인천광역시 옹진군 영흥면 선재로95번길 273 주차장
CV004475,국립무의도자연휴양림,중구,37.3902751,126.4104894,1,1,1401.58,인천광역시 영종구 하나개로 74 (무의동) 지상1층 주차장
GS000511,무진에너지 스카이주유소,중구,37.4435529,126.4302608,2,2,1311.82,인천광역시 영종구 공항서로 187 스카이주유소
JA280052,인천 중구 왕산마리나,중구,37.4579235,126.3571443,3,3,1285.7,인천광역시 영종구 왕산마리나길 143 왕산마리나 지상 주차장
EZ000507,행복한소풍캠핑장,강화군,37.6389876,126.4008375,1,1,1276.84,인천광역시 강화군 화도면 마니산로 902-15 주차장 입구 부근
EV005677,영종도 하늘체육공원,중구,37.5048402,126.5419943,2,2,1261.97,인천광역시 영종구 하늘달빛로 108 하늘체육공원 입구로부터 우측
CI0L0005,저스트그루브,강화군,37.5963893,126.4422265,3,3,1205.38,인천광역시 강화군 화도면 해안남로 1632 저스트그루브
CI0L0003,힐링하우스,강화군,37.6521734,126.5185888,1,1,1196.99,"인천광역시 강화군 불은면 해안동로 313-15 외2필지, 힐링하우스"
SBSB0033,국민체육진흥공단 경정훈련원점,중구,37.4296954,126.4370839,3,3,1181.82,인천광역시 영종구 영종해안남로 19-122 실외주차장
CI0L000A,코지네이처펜션,강화군,37.5864171,126.5085073,1,1,1137.99,인천광역시 강화군 길상면 동검리 589-11
EZ002301,포도나무펜션,강화군,37.6193626,126.4615538,1,1,1137.51,인천광역시 강화군 화도면 해안남로1066번길 10 주차장
ME25A445,함허동천 주차장,강화군,37.6096011,126.4576157,4,4,1137.51,인천광역시 강화군 화도면 사기리 439-5
PI070170,가천대학교,강화군,37.6030578,126.4949725,4,4,1137.32,인천광역시 강화군 길상면 해안남로 646-1 학생회관 입구 우측 30m
EP200360,인천 햇살오토캠핑장,강화군,37.6068255,126.4829906,2,0,1137.32,인천광역시 강화군 길상면 해안남로 760-22 구내주차장
LU001230,푸드트리,서구,37.609945,126.631434,1,1,1132.09,인천광역시 검단구 소담로 14 옥외주차장
CI0L000C,봄의언덕,강화군,37.6358985,126.5112582,1,1,1124.83,인천광역시 강화군 길상면 길상로 118 지상 1층 주차장 지상 1층 주차장
ICIA0068,클럽72 드림골프레인지 주차장,중구,37.495352,126.460132,12,0,1123.96,인천광역시 영종구 운서동 3196-3 주차장 진입 후 정면 끝
CV004610,북항배후단지남측화물차주차장,서구,37.501354839,126.60897234,1,1,1121.09,인천광역시 서해구 북항로363번길 57 (원창동)
ME25A456,영흥늘푸른센터,옹진군,37.2588475,126.4935813,4,4,1114.73,인천광역시 옹진군 영흥면 영흥로176번길 8
PI748110,BMW차징스테이션 카페시루케이크 by바바리안모터스,중구,37.4599474,126.4078099,6,6,1097.01,인천광역시 영종구 공항서로 459 주차장 입구 앞
ST282605,태경에이엘씨(입주사 전용),서구,37.6259563,126.679814,1,0,1071.67,인천광역시 검단구 설원로138번길 21 태경에이엘씨 주차장  부설연구소 건물 좌측벽면
PI713315,당근바다팬션,강화군,37.7162156,126.3526009,1,1,1056.65,인천광역시 강화군 내가면 황청포구로462번길 4-37 당근바다팬션 지상주차장  7KW
LU003985,풍산사택,강화군,37.753035,126.501653,3,0,1048.82,인천광역시 강화군 강화읍 동문로152번길 45 지상주차장
LU001246,호텔오라,중구,37.454027,126.417743,2,2,1002.08,인천광역시 영종구 공항서로 345 옥외주차장
EP200359,인천 예쁜펜션하늘정원,강화군,37.6160509,126.4009467,2,0,998.44,인천광역시 강화군 화도면 동녘말길220번길 63 구내주차장
JA280043,롯데글로벌로지스 경인집배센터,서구,37.5657734,126.6023114,4,0,990.08,인천광역시 검단구 갑문3로 26 롯데글로벌로지스 경인집배센터 롯데글로벌로지스 경인집배센터 지상 1층
PI320064,인천시 강화군 진복호식당,강화군,37.59666409,126.5090566,2,2,919.44,인천광역시 강화군 길상면 해안남로 488 주차장
HE240378,아라마루휴게소,계양구,37.572639304,126.7013906,2,2,916.88,인천광역시 계양구 아라로 228 지상주차장
ICIA0067,클럽72 하늘코스 주차장,중구,37.44685,126.48235,6,0,897.47,인천광역시 영종구 공항동로135번길 267 주차장 진입 후 건물 오른쪽
TDG00020,탑모텔(OCPP),강화군,37.7656082,126.4535386,2,2,879.03,인천광역시 강화군 송해면 강화대로 792 지상1층 후면 주차장
HY001083,인천 덕적면사무소,옹진군,37.2275001,126.1549778,1,1,865.69,인천광역시 옹진군 덕적면 덕적북로 31 면사무소 정면 좌측 지상주차장
ME24B149,덕적면사무소,옹진군,37.227776,126.145227,1,1,865.69,인천광역시 옹진군 덕적면 덕적북로 122-26
KP004585,선원면사무소,강화군,37.713178555,126.48489202,1,1,861.84,인천광역시 강화군 선원면 대문고개로 22
SF003412,CJ택배 인천강화 (완속충전기),강화군,37.706849486,126.49055967,6,6,861.84,인천광역시 강화군 선원면 연동로 245 CJ택배 인천강화 (완속충전기)
KP005187,송해면사무소,강화군,37.76433,126.46424,1,1,858.34,인천광역시 강화군 송해면 전망대로 29
PI320246,인천시 강화군 제제펜션,강화군,37.758473093,126.45787473,1,1,858.34,인천광역시 강화군 송해면 오류내길51번길 63 주차장
