eps_meters,min_samples,cluster_count,noise_station_count,noise_ratio_percent,largest_cluster_station_count,largest_cluster_ratio_percent,median_cluster_size,silhouette_score_without_noise,davies_bouldin_without_noise
250,4,171,769,14.93,368,7.15,9.0,0.243,0.5731
250,5,157,972,18.87,337,6.54,11.0,0.2635,0.5894
250,8,130,1735,33.69,204,3.96,16.0,0.4613,0.5291
250,10,111,2286,44.39,180,3.5,16.0,0.509,0.5031
350,4,88,465,9.03,938,18.21,10.0,0.0424,0.6085
350,5,84,537,10.43,894,17.36,11.5,0.0354,0.6821
350,8,79,867,16.83,764,14.83,17.0,0.2344,0.5994
350,10,68,1160,22.52,724,14.06,23.0,0.2725,0.5941
450,4,58,358,6.95,1972,38.29,11.0,-0.046,0.5743
450,5,52,402,7.81,1940,37.67,13.5,-0.0548,0.6278
450,8,47,535,10.39,1885,36.6,18.0,-0.0065,0.6299
450,10,41,672,13.05,1797,34.89,25.0,0.047,0.6932
500,4,58,298,5.79,2517,48.87,9.0,-0.1914,0.5903
500,5,45,367,7.13,2515,48.83,12.0,-0.1961,0.641
500,8,39,464,9.01,1999,38.82,15.0,0.0321,0.6047
500,10,34,593,11.51,1948,37.83,23.0,0.0305,0.6292
650,4,55,182,3.53,3801,73.81,7.0,-0.3152,0.5312
650,5,35,287,5.57,3790,73.59,11.0,-0.3381,0.6122
650,8,24,374,7.26,3770,73.2,14.0,-0.3239,0.6624
650,10,19,443,8.6,2650,51.46,22.0,-0.1337,0.6058
750,4,45,168,3.26,3872,75.18,7.0,-0.3025,0.502
750,5,34,232,4.5,3857,74.89,10.0,-0.3089,0.5479
750,8,20,337,6.54,3845,74.66,14.0,-0.2337,0.6463
750,10,17,383,7.44,3828,74.33,20.0,-0.228,0.6654
800,4,38,143,2.78,3914,76.0,7.0,-0.2024,0.4656
800,5,30,190,3.69,3902,75.77,8.0,-0.2282,0.519
800,8,18,303,5.88,3869,75.13,14.5,-0.1056,0.5858
800,10,16,337,6.54,3852,74.8,15.0,-0.1029,0.6285
1000,4,25,102,1.98,4496,87.3,7.0,0.1247,0.4744
1000,5,25,118,2.29,4493,87.24,7.0,0.1249,0.4589
1000,8,10,226,4.39,4478,86.95,34.0,0.2735,0.4687
1000,10,11,257,4.99,4458,86.56,15.0,0.0246,0.5115
1100,4,23,82,1.59,4499,87.36,6.0,0.1518,0.4978
1100,5,23,96,1.86,4496,87.3,6.0,0.0587,0.5342
1100,8,8,203,3.94,4492,87.22,34.0,0.4053,0.463
1100,10,9,222,4.31,4486,87.11,42.0,0.2643,0.496
1300,4,24,59,1.15,4501,87.4,6.0,0.1471,0.523
1300,5,20,81,1.57,4501,87.4,6.5,0.1474,0.5397
1300,8,9,174,3.38,4500,87.38,16.0,0.4179,0.5046
1300,10,7,202,3.92,4499,87.36,42.0,0.4039,0.5042
1500,4,22,39,0.76,4505,87.48,6.5,0.1426,0.4915
1500,5,18,66,1.28,4505,87.48,7.0,0.1496,0.5256
1500,8,8,152,2.95,4504,87.46,18.5,0.438,0.3944
1500,10,6,176,3.42,4502,87.42,51.5,0.4371,0.4312
2000,4,15,29,0.56,4505,87.48,8.0,0.2366,0.5264
2000,5,13,37,0.72,4505,87.48,20.0,0.2426,0.5371
2000,8,9,83,1.61,4505,87.48,21.0,0.456,0.5153
2000,10,8,102,1.98,4505,87.48,20.0,0.4387,0.4586
