charger_uid,statNm,addr,delYn,delDetail,stat,statUpdDt
EV006502_01,인천남동 간석이삭아파트,인천광역시 남동구 용천로176번길 109,Y,"기존 충전기, 지상 이전설치로 인한 등록 된 충전기 철거",9,2026-03-24 15:29:23
EV006502_02,인천남동 간석이삭아파트,인천광역시 남동구 용천로176번길 109,Y,"기존 충전기, 지상 이전설치로 인한 등록 된 충전기 철거",9,2026-03-24 15:29:23
EV006502_03,인천남동 간석이삭아파트,인천광역시 남동구 용천로176번길 109,Y,"기존 충전기, 지상 이전설치로 인한 등록 된 충전기 철거",9,2026-03-24 15:29:23
EV006502_04,인천남동 간석이삭아파트,인천광역시 남동구 용천로176번길 109,Y,"기존 충전기, 지상 이전설치로 인한 등록 된 충전기 철거",9,2026-03-24 15:29:23
HM110245_01,검단호반써밋1차아파트,인천광역시 검단구 이음5로 15,Y,충전기 취소로 인한 철거,9,2024-12-09 15:23:10
IN032001_01,반안프라자1,인천광역시 서해구 중봉대로612번길 10-8,Y,차지비 이관,9,2026-06-15 12:26:52
IN032003_01,반안프라자3,인천광역시 서해구 청라커낼로260번길 7-15,Y,차지비 이관,9,2026-06-15 12:26:53
IN032004_01,간석LH2단지,인천광역시 남동구 백범로294번길 16,Y,차지비 이관,9,2026-06-15 12:26:53
IN032004_02,간석LH2단지,인천광역시 남동구 백범로294번길 16,Y,차지비 이관,9,2026-06-15 12:26:53
IN032004_03,간석LH2단지,인천광역시 남동구 백범로294번길 16,Y,차지비 이관,9,2026-06-15 12:26:53
IN032004_04,간석LH2단지,인천광역시 남동구 백범로294번길 16,Y,차지비 이관,9,2026-06-15 12:26:53
IN032004_05,간석LH2단지,인천광역시 남동구 백범로294번길 16,Y,차지비 이관,9,2026-06-15 12:26:53
IN032004_06,간석LH2단지,인천광역시 남동구 백범로294번길 16,Y,차지비 이관,9,2026-06-15 12:26:53
IN032004_07,간석LH2단지,인천광역시 남동구 백범로294번길 16,Y,차지비 이관,9,2026-06-15 12:26:53
IN032004_08,간석LH2단지,인천광역시 남동구 백범로294번길 16,Y,차지비 이관,9,2026-06-15 12:26:53
IN032004_09,간석LH2단지,인천광역시 남동구 백범로294번길 16,Y,차지비 이관,9,2026-06-15 12:26:54
IN032004_10,간석LH2단지,인천광역시 남동구 백범로294번길 16,Y,차지비 이관,9,2026-06-15 12:26:54
IN032004_11,간석LH2단지,인천광역시 남동구 백범로294번길 16,Y,차지비 이관,9,2026-06-15 12:26:54
IN032004_12,간석LH2단지,인천광역시 남동구 백범로294번길 16,Y,차지비 이관,9,2026-06-15 12:26:54
IN032004_13,간석LH2단지,인천광역시 남동구 백범로294번길 16,Y,차지비 이관,9,2026-06-15 12:26:54
IN032004_14,간석LH2단지,인천광역시 남동구 백범로294번길 16,Y,차지비 이관,9,2026-06-15 12:26:54
IN032004_15,간석LH2단지,인천광역시 남동구 백범로294번길 16,Y,차지비 이관,9,2026-06-15 12:26:54
IN032004_16,간석LH2단지,인천광역시 남동구 백범로294번길 16,Y,차지비 이관,9,2026-06-15 12:26:54
IN032004_17,간석LH2단지,인천광역시 남동구 백범로294번길 16,Y,차지비 이관,9,2026-06-15 12:26:54
IN032004_18,간석LH2단지,인천광역시 남동구 백범로294번길 16,Y,차지비 이관,9,2026-06-15 12:26:54
IN032004_19,간석LH2단지,인천광역시 남동구 백범로294번길 16,Y,차지비 이관,9,2026-06-15 12:26:54
IN032005_01,더프레스티움,인천광역시 미추홀구 경인로 165,Y,차지비 이관,9,2026-06-15 12:26:54
IN032005_02,더프레스티움,인천광역시 미추홀구 경인로 165,Y,차지비 이관,9,2026-06-15 12:26:54
IN032006_01,검단대광로제비앙센트럴포레,인천광역시 검단구 검단로768번길 46,Y,차지비 이관,2,2026-06-17 09:01:27
IN032006_02,검단대광로제비앙센트럴포레,인천광역시 검단구 검단로768번길 46,Y,차지비 이관,2,2026-06-15 12:26:54
IN032006_03,검단대광로제비앙센트럴포레,인천광역시 검단구 검단로768번길 46,Y,차지비 이관,9,2026-06-15 12:26:54
IN032006_04,검단대광로제비앙센트럴포레,인천광역시 검단구 검단로768번길 46,Y,차지비 이관,9,2026-06-15 12:26:54
IN032006_05,검단대광로제비앙센트럴포레,인천광역시 검단구 검단로768번길 46,Y,차지비 이관,9,2026-06-15 12:26:55
IN032006_06,검단대광로제비앙센트럴포레,인천광역시 검단구 검단로768번길 46,Y,차지비 이관,9,2026-06-15 12:26:55
IN032006_07,검단대광로제비앙센트럴포레,인천광역시 검단구 검단로768번길 46,Y,차지비 이관,9,2026-06-15 12:26:55
IN032006_08,검단대광로제비앙센트럴포레,인천광역시 검단구 검단로768번길 46,Y,차지비 이관,9,2026-06-15 12:26:55
IN032006_09,검단대광로제비앙센트럴포레,인천광역시 검단구 검단로768번길 46,Y,차지비 이관,9,2026-06-15 12:26:55
IN032006_10,검단대광로제비앙센트럴포레,인천광역시 검단구 검단로768번길 46,Y,차지비 이관,9,2026-06-15 12:26:55
IN032006_11,검단대광로제비앙센트럴포레,인천광역시 검단구 검단로768번길 46,Y,차지비 이관,2,2026-06-17 08:21:12
IN032006_12,검단대광로제비앙센트럴포레,인천광역시 검단구 검단로768번길 46,Y,차지비 이관,9,2026-06-15 12:26:55
IN032006_13,검단대광로제비앙센트럴포레,인천광역시 검단구 검단로768번길 46,Y,차지비 이관,9,2026-06-15 12:26:55
IN032006_14,검단대광로제비앙센트럴포레,인천광역시 검단구 검단로768번길 46,Y,차지비 이관,2,2026-06-15 12:26:55
IN032006_15,검단대광로제비앙센트럴포레,인천광역시 검단구 검단로768번길 46,Y,차지비 이관,9,2026-06-15 12:26:55
IN032006_16,검단대광로제비앙센트럴포레,인천광역시 검단구 검단로768번길 46,Y,차지비 이관,9,2026-06-15 12:26:55
IN032006_17,검단대광로제비앙센트럴포레,인천광역시 검단구 검단로768번길 46,Y,차지비 이관,9,2026-06-15 12:26:55
IN032006_18,검단대광로제비앙센트럴포레,인천광역시 검단구 검단로768번길 46,Y,차지비 이관,9,2026-06-15 12:26:55
IN032006_19,검단대광로제비앙센트럴포레,인천광역시 검단구 검단로768번길 46,Y,차지비 이관,9,2026-06-15 12:26:55
IN032006_20,검단대광로제비앙센트럴포레,인천광역시 검단구 검단로768번길 46,Y,차지비 이관,9,2026-06-15 12:26:56
IN032006_21,검단대광로제비앙센트럴포레,인천광역시 검단구 검단로768번길 46,Y,차지비 이관,9,2026-06-15 12:26:56
IN032006_22,검단대광로제비앙센트럴포레,인천광역시 검단구 검단로768번길 46,Y,차지비 이관,9,2026-06-15 12:26:56
IN032006_23,검단대광로제비앙센트럴포레,인천광역시 검단구 검단로768번길 46,Y,차지비 이관,9,2026-06-15 12:26:56
IN032006_24,검단대광로제비앙센트럴포레,인천광역시 검단구 검단로768번길 46,Y,차지비 이관,9,2026-06-15 12:26:56
IN032006_25,검단대광로제비앙센트럴포레,인천광역시 검단구 검단로768번길 46,Y,차지비 이관,9,2026-06-15 12:26:56
IN032006_26,검단대광로제비앙센트럴포레,인천광역시 검단구 검단로768번길 46,Y,차지비 이관,9,2026-06-15 12:26:56
IN032006_27,검단대광로제비앙센트럴포레,인천광역시 검단구 검단로768번길 46,Y,차지비 이관,9,2026-06-15 12:26:56
IN032006_28,검단대광로제비앙센트럴포레,인천광역시 검단구 검단로768번길 46,Y,차지비 이관,9,2026-06-15 12:26:56
IN032006_29,검단대광로제비앙센트럴포레,인천광역시 검단구 검단로768번길 46,Y,차지비 이관,9,2026-06-15 12:26:56
IN032006_30,검단대광로제비앙센트럴포레,인천광역시 검단구 검단로768번길 46,Y,차지비 이관,9,2026-06-15 12:26:56
IN032006_31,검단대광로제비앙센트럴포레,인천광역시 검단구 검단로768번길 46,Y,차지비 이관,9,2026-06-15 12:26:56
IN032006_32,검단대광로제비앙센트럴포레,인천광역시 검단구 검단로768번길 46,Y,차지비 이관,2,2026-07-01 11:21:14
IN032006_33,검단대광로제비앙센트럴포레,인천광역시 검단구 검단로768번길 46,Y,차지비 이관,2,2026-07-09 21:01:28
IN032006_34,검단대광로제비앙센트럴포레,인천광역시 검단구 검단로768번길 46,Y,차지비 이관,2,2026-07-11 21:21:26
IN032006_35,검단대광로제비앙센트럴포레,인천광역시 검단구 검단로768번길 46,Y,차지비 이관,5,2026-06-15 12:26:56
IN032006_36,검단대광로제비앙센트럴포레,인천광역시 검단구 검단로768번길 46,Y,차지비 이관,5,2026-06-15 12:26:56
IN032006_37,검단대광로제비앙센트럴포레,인천광역시 검단구 검단로768번길 46,Y,차지비 이관,5,2026-06-15 12:26:56
IN032006_38,검단대광로제비앙센트럴포레,인천광역시 검단구 검단로768번길 46,Y,차지비 이관,5,2026-06-15 12:26:56
IN032006_39,검단대광로제비앙센트럴포레,인천광역시 검단구 검단로768번길 46,Y,차지비 이관,5,2026-06-15 12:26:56
IN032007_01,운서청호주차장,인천광역시 영종구 모랫말로16번길 13-53,Y,차지비 이관,9,2026-06-15 12:26:56
IN032007_02,운서청호주차장,인천광역시 영종구 모랫말로16번길 13-53,Y,차지비 이관,9,2026-06-15 12:26:56
IN032007_03,운서청호주차장,인천광역시 영종구 모랫말로16번길 13-53,Y,차지비 이관,2,2026-06-16 14:41:14
IN032007_04,운서청호주차장,인천광역시 영종구 모랫말로16번길 13-53,Y,차지비 이관,2,2026-06-16 14:41:14
IN032007_05,운서청호주차장,인천광역시 영종구 모랫말로16번길 13-53,Y,차지비 이관,2,2026-06-16 14:41:14
IN032007_06,운서청호주차장,인천광역시 영종구 모랫말로16번길 13-53,Y,차지비 이관,3,2026-07-15 23:21:14
IN032007_07,운서청호주차장,인천광역시 영종구 모랫말로16번길 13-53,Y,차지비 이관,2,2026-07-16 07:01:36
IN032008_01,이마트계양점,인천광역시 계양구 봉오대로 785,Y,차지비 이관,2,2026-06-15 12:26:56
IN032008_02,이마트계양점,인천광역시 계양구 봉오대로 785,Y,차지비 이관,2,2026-06-15 12:26:57
IN032008_03,이마트계양점,인천광역시 계양구 봉오대로 785,Y,차지비 이관,2,2026-06-15 15:41:15
IN032008_04,이마트계양점,인천광역시 계양구 봉오대로 785,Y,차지비 이관,2,2026-06-15 12:26:57
IN032008_05,이마트계양점,인천광역시 계양구 봉오대로 785,Y,차지비 이관,2,2026-06-15 12:26:57
IN032008_06,이마트계양점,인천광역시 계양구 봉오대로 785,Y,차지비 이관,2,2026-06-15 12:26:57
IN032008_07,이마트계양점,인천광역시 계양구 봉오대로 785,Y,차지비 이관,2,2026-06-15 12:26:57
IN032008_08,이마트계양점,인천광역시 계양구 봉오대로 785,Y,차지비 이관,2,2026-06-15 12:26:57
IN032009_01,이마트동인천점,인천광역시 제물포구 인중로 134,Y,차지비 이관,9,2026-06-15 12:26:57
IN032009_02,이마트동인천점,인천광역시 제물포구 인중로 134,Y,차지비 이관,9,2026-06-15 12:26:57
IN032009_03,이마트동인천점,인천광역시 제물포구 인중로 134,Y,차지비 이관,9,2026-06-15 12:26:57
IN032009_04,이마트동인천점,인천광역시 제물포구 인중로 134,Y,차지비 이관,9,2026-06-15 12:26:58
IN032009_05,이마트동인천점,인천광역시 제물포구 인중로 134,Y,차지비 이관,9,2026-06-15 12:26:58
IN032009_06,이마트동인천점,인천광역시 제물포구 인중로 134,Y,차지비 이관,9,2026-06-15 12:26:58
IN032009_07,이마트동인천점,인천광역시 제물포구 인중로 134,Y,차지비 이관,9,2026-06-15 12:26:58
IN032009_08,이마트동인천점,인천광역시 제물포구 인중로 134,Y,차지비 이관,9,2026-06-15 12:26:58
IN032009_09,이마트동인천점,인천광역시 제물포구 인중로 134,Y,차지비 이관,9,2026-06-15 12:26:58
IN032010_01,이마트검단점,인천광역시 검단구 서곶로 754,Y,차지비 이관,9,2026-06-15 12:26:58
IN032010_02,이마트검단점,인천광역시 검단구 서곶로 754,Y,차지비 이관,2,2026-06-15 12:26:58
IN032010_03,이마트검단점,인천광역시 검단구 서곶로 754,Y,차지비 이관,9,2026-06-15 12:26:58
IN032010_04,이마트검단점,인천광역시 검단구 서곶로 754,Y,차지비 이관,9,2026-06-15 12:26:58
IN032010_05,이마트검단점,인천광역시 검단구 서곶로 754,Y,차지비 이관,9,2026-06-15 12:26:58
IN032010_06,이마트검단점,인천광역시 검단구 서곶로 754,Y,차지비 이관,9,2026-06-15 12:26:58
IN032010_07,이마트검단점,인천광역시 검단구 서곶로 754,Y,차지비 이관,9,2026-06-15 12:26:58
IN032010_08,이마트검단점,인천광역시 검단구 서곶로 754,Y,차지비 이관,9,2026-06-15 12:26:58
IN032011_01,이마트연수점,인천광역시 연수구 경원대로 184,Y,차지비 이관,9,2026-06-15 12:26:58
IN032011_02,이마트연수점,인천광역시 연수구 경원대로 184,Y,차지비 이관,9,2026-06-15 12:26:58
IN032011_03,이마트연수점,인천광역시 연수구 경원대로 184,Y,차지비 이관,1,2026-06-15 12:26:58
IN032011_04,이마트연수점,인천광역시 연수구 경원대로 184,Y,차지비 이관,1,2026-06-15 12:26:58
IN032011_05,이마트연수점,인천광역시 연수구 경원대로 184,Y,차지비 이관,1,2026-06-15 12:26:58
