district_final,station_count,charger_count,public_charger_count,limited_charger_count,avg_chargers_per_station,public_charger_ratio_percent,limited_charger_ratio_percent
연수구,924,6074,2261,3813,6.57,37.22,62.78
서해구,707,4941,1514,3427,6.99,30.64,69.36
남동구,780,4418,1370,3048,5.66,31.01,68.99
부평구,629,3758,1001,2757,5.97,26.64,73.36
미추홀구,446,3323,799,2524,7.45,24.04,75.96
검단구,435,3267,622,2645,7.51,19.04,80.96
영종구,392,2976,1682,1294,7.59,56.52,43.48
계양구,415,2130,596,1534,5.13,27.98,72.02
제물포구,216,1094,541,553,5.06,49.45,50.55
강화군,207,444,357,87,2.14,80.41,19.59
옹진군,42,81,65,16,1.93,80.25,19.75
