district_final,station_count,charger_count,fast_charger_count,slow_charger_count,unknown_speed_count,public_charger_count,limited_charger_count,fast_charger_ratio_percent,public_charger_ratio_percent,avg_chargers_per_station
연수구,924,6074,370,5665,39,2261,3813,6.09,37.22,6.57
서해구,707,4941,386,4555,0,1514,3427,7.81,30.64,6.99
남동구,780,4418,302,4075,41,1370,3048,6.84,31.01,5.66
부평구,629,3758,175,3556,27,1001,2757,4.66,26.64,5.97
미추홀구,446,3323,185,3119,19,799,2524,5.57,24.04,7.45
검단구,435,3267,136,3131,0,622,2645,4.16,19.04,7.51
영종구,392,2976,430,2546,0,1682,1294,14.45,56.52,7.59
계양구,415,2130,157,1950,23,596,1534,7.37,27.98,5.13
제물포구,216,1094,146,948,0,541,553,13.35,49.45,5.06
강화군,207,444,178,265,1,357,87,40.09,80.41,2.14
옹진군,42,81,29,52,0,65,16,35.8,80.25,1.93
