district_2024,station_count,charger_count,public_charger_count,limited_charger_count,fast_charger_count,slow_charger_count,unknown_speed_count,avg_chargers_per_station,public_charger_ratio_percent,fast_charger_ratio_percent,total_ev_count,passenger_ev_count,van_ev_count,truck_ev_count,special_ev_count,private_ev_count,commercial_ev_count,commercial_ev_ratio_percent,chargers_per_100_ev,public_chargers_per_100_ev,fast_chargers_per_100_ev,ev_per_charger,ev_per_public_charger,stations_per_1000_ev,weighted_ev_demand_equal,weighted_ev_demand_commercial_1_5,chargers_per_100_weighted_ev,charger_count_rank,ev_count_rank,chargers_per_100_ev_rank,public_chargers_per_100_ev_rank,fast_chargers_per_100_ev_rank,registration_base_date,boundary_base_date,charging_data_base_date
강화군,205,437,350,87,170,266,1,2.13,80.09,38.9,2707,1961,27,717,2,1493,1214,44.85,16.14,12.93,6.28,6.19,7.73,75.73,2707,3314.0,13.19,9,9,3,3,8,2026-02-19,2024-06-30,2026-07
계양구,413,2127,593,1534,155,1949,23,5.15,27.88,7.29,21111,19686,4,1414,7,3198,17913,84.85,10.08,2.81,0.73,9.93,35.6,19.56,21111,30067.5,7.07,7,1,2,2,1,2026-02-19,2024-06-30,2026-07
남동구,773,4382,1367,3015,300,4041,41,5.67,31.2,6.85,10135,8787,46,1296,6,8521,1614,15.93,43.24,13.49,2.96,2.31,7.41,76.27,10135,10942.0,40.05,3,4,4,4,4,2026-02-19,2024-06-30,2026-07
동구,102,663,304,359,62,601,0,6.5,45.85,9.35,637,462,0,172,3,472,165,25.9,104.08,47.72,9.73,0.96,2.1,160.13,637,719.5,92.15,8,10,10,10,9,2026-02-19,2024-06-30,2026-07
미추홀구,446,3324,800,2524,185,3120,19,7.45,24.07,5.57,5855,4870,1,979,5,3320,2535,43.3,56.77,13.66,3.16,1.76,7.32,76.17,5855,7122.5,46.67,6,6,7,5,6,2026-02-19,2024-06-30,2026-07
부평구,627,3752,998,2754,175,3550,27,5.98,26.6,4.66,7250,6196,78,972,4,4694,2556,35.26,51.75,13.77,2.41,1.93,7.26,86.48,7250,8528.0,44.0,4,5,6,6,3,2026-02-19,2024-06-30,2026-07
서구,1140,8200,2120,6080,511,7677,12,7.19,25.85,6.23,12380,10037,200,2138,5,10931,1449,11.7,66.24,17.12,4.13,1.51,5.84,92.08,12380,13104.5,62.57,1,2,8,7,7,2026-02-19,2024-06-30,2026-07
연수구,897,5941,2248,3693,360,5542,39,6.62,37.84,6.06,12097,11141,119,833,4,11236,861,7.12,49.11,18.58,2.98,2.04,5.38,74.15,12097,12527.5,47.42,2,3,5,8,5,2026-02-19,2024-06-30,2026-07
옹진군,40,76,60,16,28,48,0,1.9,78.95,36.84,3530,3443,2,85,0,245,3285,93.06,2.15,1.7,0.79,46.45,58.83,11.33,3530,5172.5,1.47,10,8,1,1,2,2026-02-19,2024-06-30,2026-07
중구,507,3420,1919,1501,513,2888,19,6.75,56.11,15.0,4158,3469,154,533,2,3720,438,10.53,82.25,46.15,12.34,1.22,2.17,121.93,4158,4377.0,78.14,5,7,9,9,10,2026-02-19,2024-06-30,2026-07
