charger_uid,statNm,addr,zscode,district_by_code,district_from_address,district_address_normalized,lat,lng
HE000275_01,인천대공원사업소,인천광역시 남동구 무네미로 236,28125,제물포구,남동구,남동구,37.4577,126.7499
HE000275_02,인천대공원사업소,인천광역시 남동구 무네미로 236,28125,제물포구,남동구,남동구,37.4577,126.7499
HE000582_01,인천대공원사업소 정문,"인천광역시 남동구 무네미로 238 (장수동, 인천대공원)",28125,제물포구,남동구,남동구,37.459216,126.750769
KP000261_01,LH인천본부,인천광역시 남동구 논현로46번길 23,28125,제물포구,남동구,남동구,37.40090909875,126.7123238115
KP000261_02,LH인천본부,인천광역시 남동구 논현로46번길 23,28125,제물포구,남동구,남동구,37.40090909875,126.7123238115
KP000837_01,구월아시아드선수촌센트럴자이 아파트,인천광역시 남동구 구월동 선수촌로 55,28125,제물포구,남동구,남동구,37.4433503882,126.7124586022
KP000837_02,구월아시아드선수촌센트럴자이 아파트,인천광역시 남동구 구월동 선수촌로 55,28125,제물포구,남동구,남동구,37.4433503882,126.7124586022
KP000837_03,구월아시아드선수촌센트럴자이 아파트,인천광역시 남동구 구월동 선수촌로 55,28125,제물포구,남동구,남동구,37.4433503882,126.7124586022
KP000837_04,구월아시아드선수촌센트럴자이 아파트,인천광역시 남동구 구월동 선수촌로 55,28125,제물포구,남동구,남동구,37.4433503882,126.7124586022
KP000838_01,서창 LH3단지 청아안,인천광역시 남동구 서창동 서창남순환로 110,28125,제물포구,남동구,남동구,37.4301367627,126.746598716
KP000838_02,서창 LH3단지 청아안,인천광역시 남동구 서창동 서창남순환로 110,28125,제물포구,남동구,남동구,37.4301367627,126.746598716
KP000838_03,서창 LH3단지 청아안,인천광역시 남동구 서창동 서창남순환로 110,28125,제물포구,남동구,남동구,37.4301367627,126.746598716
KP001026_01,에코메트로10단지,인천광역시 남동구 논현동 아암대로1503번길 21,28125,제물포구,남동구,남동구,37.3912434841,126.7279614345
KP001026_02,에코메트로10단지,인천광역시 남동구 논현동 아암대로1503번길 21,28125,제물포구,남동구,남동구,37.3912434841,126.7279614345
KP001379_01,논현힐스테이트 아파트,인천광역시 남동구 논현동 논고개로68번길 49,28125,제물포구,남동구,남동구,37.4009713065,126.729715248
KP001379_02,논현힐스테이트 아파트,인천광역시 남동구 논현동 논고개로68번길 49,28125,제물포구,남동구,남동구,37.4009713065,126.729715248
KP001379_03,논현힐스테이트 아파트,인천광역시 남동구 논현동 논고개로68번길 49,28125,제물포구,남동구,남동구,37.4009713065,126.729715248
KP001379_04,논현힐스테이트 아파트,인천광역시 남동구 논현동 논고개로68번길 49,28125,제물포구,남동구,남동구,37.4009713065,126.729715248
KP001381_01,만수영풍 아파트b단지,인천광역시 남동구 만수동 백범로248번길 20,28125,제물포구,남동구,남동구,37.4615843907,126.7219783756
KP001382_01,서창LH8단지 아파트,인천광역시 남동구 서창동 서창남순환로 201,28125,제물포구,남동구,남동구,37.4259504422,126.7456638117
KP001382_02,서창LH8단지 아파트,인천광역시 남동구 서창동 서창남순환로 201,28125,제물포구,남동구,남동구,37.4259504422,126.7456638117
KP001382_03,서창LH8단지 아파트,인천광역시 남동구 서창동 서창남순환로 201,28125,제물포구,남동구,남동구,37.4259504422,126.7456638117
KP001382_04,서창LH8단지 아파트,인천광역시 남동구 서창동 서창남순환로 201,28125,제물포구,남동구,남동구,37.4259504422,126.7456638117
KP001383_01,서창현대모닝사이드,인천광역시 남동구 서창동 매소홀로 1103,28125,제물포구,남동구,남동구,37.4390311867,126.7464195714
KP001383_02,서창현대모닝사이드,인천광역시 남동구 서창동 매소홀로 1103,28125,제물포구,남동구,남동구,37.4390311867,126.7464195714
KP001383_03,서창현대모닝사이드,인천광역시 남동구 서창동 매소홀로 1103,28125,제물포구,남동구,남동구,37.4390311867,126.7464195714
KP001383_04,서창현대모닝사이드,인천광역시 남동구 서창동 매소홀로 1103,28125,제물포구,남동구,남동구,37.4390311867,126.7464195714
KP001394_01,에코메트로3차더타워 아파트,인천광역시 남동구 논현동 소래역남로 40,28125,제물포구,남동구,남동구,37.4000506589,126.7321761055
KP001394_02,에코메트로3차더타워 아파트,인천광역시 남동구 논현동 소래역남로 40,28125,제물포구,남동구,남동구,37.4000506589,126.7321761055
