district_2024,passenger_ev_count,van_ev_count,truck_ev_count,special_ev_count,total_ev_count,private_ev_count,commercial_ev_count,commercial_ev_ratio_percent
계양구,19686,4,1414,7,21111,3198,17913,84.85
서구,10037,200,2138,5,12380,10931,1449,11.7
연수구,11141,119,833,4,12097,11236,861,7.12
남동구,8787,46,1296,6,10135,8521,1614,15.93
부평구,6196,78,972,4,7250,4694,2556,35.26
미추홀구,4870,1,979,5,5855,3320,2535,43.3
중구,3469,154,533,2,4158,3720,438,10.53
옹진군,3443,2,85,0,3530,245,3285,93.06
강화군,1961,27,717,2,2707,1493,1214,44.85
동구,462,0,172,3,637,472,165,25.9
