district,total_ev_count,station_count,charger_count,public_charger_count,fast_charger_count,slow_charger_count,public_charger_ratio_percent,fast_charger_ratio_percent,chargers_per_100_ev,public_chargers_per_100_ev,fast_chargers_per_100_ev,ev_per_public_charger,ev_count_rank,charger_count_rank,public_supply_shortage_rank,fast_supply_shortage_rank,registration_base_date,boundary_base_date,charging_data_base_date
강화군,2707,205,437,350,170,266,80.09,38.9,16.14,12.93,6.28,7.73,9,9,3,8,2026-02-19,2024-06-30,2026-07
계양구,21111,413,2127,593,155,1949,27.88,7.29,10.08,2.81,0.73,35.6,1,7,2,1,2026-02-19,2024-06-30,2026-07
남동구,10135,773,4382,1367,300,4041,31.2,6.85,43.24,13.49,2.96,7.41,4,3,4,4,2026-02-19,2024-06-30,2026-07
동구,637,102,663,304,62,601,45.85,9.35,104.08,47.72,9.73,2.1,10,8,10,9,2026-02-19,2024-06-30,2026-07
미추홀구,5855,446,3324,800,185,3120,24.07,5.57,56.77,13.66,3.16,7.32,6,6,5,6,2026-02-19,2024-06-30,2026-07
부평구,7250,627,3752,998,175,3550,26.6,4.66,51.75,13.77,2.41,7.26,5,4,6,3,2026-02-19,2024-06-30,2026-07
서구,12380,1140,8200,2120,511,7677,25.85,6.23,66.24,17.12,4.13,5.84,2,1,7,7,2026-02-19,2024-06-30,2026-07
연수구,12097,897,5941,2248,360,5542,37.84,6.06,49.11,18.58,2.98,5.38,3,2,8,5,2026-02-19,2024-06-30,2026-07
옹진군,3530,40,76,60,28,48,78.95,36.84,2.15,1.7,0.79,58.83,8,10,1,2,2026-02-19,2024-06-30,2026-07
중구,4158,507,3420,1919,513,2888,56.11,15.0,82.25,46.15,12.34,2.17,7,5,9,10,2026-02-19,2024-06-30,2026-07
