statNm,statId,chgerId,chgerType,addr,addrDetail,location,lat,lng,useTime,busiId,bnm,busiNm,busiCall,stat,statUpdDt,lastTsdt,lastTedt,nowTsdt,powerType,output,method,zcode,zscode,kind,kindDetail,parkingFree,note,limitYn,limitDetail,delYn,delDetail,trafficYn,year,floorNum,floorType,maker,charger_uid,coordinate_missing,coordinate_outlier,district_by_code,district_from_address,district_address_normalized,district_mismatch,is_deleted,is_limited,is_active_record,usable_for_spatial_analysis,district_before_correction,lat_before_correction,lng_before_correction,district_corrected,coordinate_corrected,correction_reason,district_final,coordinate_missing_final,coordinate_outlier_final,usable_for_district_analysis,usable_for_spatial_analysis_final,publicly_accessible
청라더샵레이크파크,KP001435,1,6,인천광역시 서구 경서동 크리스탈로74번길 26,지하1층,,37.5308607222,126.6381458064,,KP,한국전력공사,한국전기차충전서비스,,3,2026-07-16 01:00:14,2026-07-14 11:10:38,2026-07-14 11:47:10,2026-07-16 00:56:38,,,,28,28260,H0,H001,Y,,Y,입주자외 출입제한 (긴급상황 이용가능),N,,N,2018,,,모던텍,KP001435_01,False,False,서구_과거코드,서구,서구_과거코드,False,False,True,True,True,서구_과거코드,37.5308607222,126.6381458064,False,False,,서구_과거코드,False,False,True,True,False
청라더샵레이크파크,KP001435,2,2,인천광역시 서구 경서동 크리스탈로74번길 26,지하1층,,37.5308607222,126.6381458064,,KP,한국전력공사,한국전기차충전서비스,,2,2026-07-16 01:50:19,2026-07-15 23:45:22,2026-07-16 01:39:50,,,,,28,28260,H0,H001,Y,,Y,입주자외 출입제한 (긴급상황 이용가능),N,,N,2018,,,씨어스,KP001435_02,False,False,서구_과거코드,서구,서구_과거코드,False,False,True,True,True,서구_과거코드,37.5308607222,126.6381458064,False,False,,서구_과거코드,False,False,True,True,False
청라더샵레이크파크,KP001435,3,2,인천광역시 서구 경서동 크리스탈로74번길 26,지하1층,,37.5308607222,126.6381458064,,KP,한국전력공사,한국전기차충전서비스,,9,2026-03-24 15:33:46,2026-02-05 10:05:53,2026-02-05 11:20:01,,,,,28,28260,H0,H001,Y,,Y,입주자외 출입제한 (긴급상황 이용가능),N,,N,2018,,,씨어스,KP001435_03,False,False,서구_과거코드,서구,서구_과거코드,False,False,True,True,True,서구_과거코드,37.5308607222,126.6381458064,False,False,,서구_과거코드,False,False,True,True,False
청라더샵레이크파크,KP001435,4,2,인천광역시 서구 경서동 크리스탈로74번길 26,지하1층,,37.5308607222,126.6381458064,,KP,한국전력공사,한국전기차충전서비스,,2,2026-07-16 08:50:22,2026-07-16 07:08:22,2026-07-16 08:46:20,,,,,28,28260,H0,H001,Y,,Y,입주자외 출입제한 (긴급상황 이용가능),N,,N,2018,,,씨어스,KP001435_04,False,False,서구_과거코드,서구,서구_과거코드,False,False,True,True,True,서구_과거코드,37.5308607222,126.6381458064,False,False,,서구_과거코드,False,False,True,True,False
영종한양수자인아파트,KP002644,1,6,인천광역시 중구 중산동 1878-1,,,37.491276,126.553052,,KP,한국전력공사,한국전기차충전서비스,1899-2100,5,2026-07-15 04:40:03,2024-08-18 09:46:09,2024-08-18 11:01:22,,,,,28,28110,H0,H001,Y,,Y,입주자외 출입제한 (긴급상황 이용가능),N,,N,2018,1,B,채비,KP002644_01,False,False,중구_과거코드,중구,중구_과거코드,False,False,True,True,True,중구_과거코드,37.491276,126.553052,False,False,,중구_과거코드,False,False,True,True,False
영종한양수자인아파트,KP002644,2,2,인천광역시 중구 중산동 1878-1,,,37.491276,126.553052,,KP,한국전력공사,한국전기차충전서비스,1899-2100,2,2026-07-16 04:50:17,2026-07-16 00:00:28,2026-07-16 04:42:38,,,,,28,28110,H0,H001,Y,,Y,입주자외 출입제한 (긴급상황 이용가능),N,,N,2018,1,B,도암엔지니어링,KP002644_02,False,False,중구_과거코드,중구,중구_과거코드,False,False,True,True,True,중구_과거코드,37.491276,126.553052,False,False,,중구_과거코드,False,False,True,True,False
영종한양수자인아파트,KP002644,3,2,인천광역시 중구 중산동 1878-1,,,37.491276,126.553052,,KP,한국전력공사,한국전기차충전서비스,1899-2100,2,2026-07-16 03:10:20,2026-07-15 19:48:51,2026-07-16 03:00:10,,,,,28,28110,H0,H001,Y,,Y,입주자외 출입제한 (긴급상황 이용가능),N,,N,2018,1,B,도암엔지니어링,KP002644_03,False,False,중구_과거코드,중구,중구_과거코드,False,False,True,True,True,중구_과거코드,37.491276,126.553052,False,False,,중구_과거코드,False,False,True,True,False
영종한양수자인아파트,KP002644,4,2,인천광역시 중구 중산동 1878-1,,,37.491276,126.553052,,KP,한국전력공사,한국전기차충전서비스,1899-2100,2,2026-07-15 21:20:19,2026-07-15 18:08:50,2026-07-15 21:09:41,,,,,28,28110,H0,H001,Y,,Y,입주자외 출입제한 (긴급상황 이용가능),N,,N,2018,1,B,도암엔지니어링,KP002644_04,False,False,중구_과거코드,중구,중구_과거코드,False,False,True,True,True,중구_과거코드,37.491276,126.553052,False,False,,중구_과거코드,False,False,True,True,False
영종한양수자인아파트,KP002644,5,2,인천광역시 중구 중산동 1878-1,,,37.491276,126.553052,,KP,한국전력공사,한국전기차충전서비스,1899-2100,3,2026-07-16 01:10:06,2026-07-13 19:22:29,2026-07-14 05:34:54,2026-07-16 00:56:40,,,,28,28110,H0,H001,Y,,Y,입주자외 출입제한 (긴급상황 이용가능),N,,N,2018,1,B,도암엔지니어링,KP002644_05,False,False,중구_과거코드,중구,중구_과거코드,False,False,True,True,True,중구_과거코드,37.491276,126.553052,False,False,,중구_과거코드,False,False,True,True,False
영종동보노빌리티아파트,KP002733,1,6,인천광역시 중구 중산동 1872-2,,,37.484992,126.559226,,KP,한국전력공사,한국전기차충전서비스,1899-2100,2,2026-07-16 01:30:18,2026-07-16 01:00:35,2026-07-16 01:27:08,,,,,28,28110,H0,H001,Y,,Y,입주자외 출입제한 (긴급상황 이용가능),N,,N,2018,1,B,채비,KP002733_01,False,False,중구_과거코드,중구,중구_과거코드,False,False,True,True,True,중구_과거코드,37.484992,126.559226,False,False,,중구_과거코드,False,False,True,True,False
